,Interferometric Phase,PTI Signal
0,2.5940778661346076,-1.3088112277567435e-06
1,2.603355297230211,-1.5203946028516685e-06
2,2.502572962774326,-1.5285013958146273e-06
3,2.392231270997342,-2.8163564873736606e-06
4,2.2713700605983798,-2.74558084585478e-06
5,2.137072434207251,-1.762365016935416e-06
6,1.9863514066645998,2.5462921350086853e-07
7,1.8146727465819863,-1.1022228534473046e-06
8,1.6176529235454726,-8.334239989514585e-07
9,1.3921468444559788,-1.3712792119691384e-07
10,1.1359278901096437,-1.8710120350022161e-06
11,0.8477313168476577,-1.0545818746716795e-06
12,0.530295368907542,-3.1382032409097314e-06
13,0.19473706848600297,4.722665700914248e-06
14,6.125354580150839,-1.5563540308122287e-06
15,5.77086674451735,-7.758677616244321e-07
16,5.4301020838191905,-2.551798190548778e-07
17,5.104886478186588,-3.0854891738024137e-06
18,4.795951654971903,-3.402775715614495e-06
19,4.503976309926392,-1.1464265901226462e-06
20,4.228373685178996,5.908701225803211e-07
21,3.970476542262564,-6.592456006252238e-07
22,3.7323849446686936,-6.566909499556467e-06
23,3.515335179614159,-8.535562701970176e-07
24,3.3189501453937735,-2.1785171236229673e-06
25,3.142464517079747,-1.8358232958652414e-06
26,2.9844546384554795,-1.3826854963493448e-06
27,2.842700341358115,2.081284818960927e-07
28,2.7157005597480377,-2.083429684219637e-06
29,2.6022011618539254,-1.0465358459244394e-06
30,2.5013417922970094,-2.7306036478954307e-06
31,2.4138979023071236,-2.13911353616036e-06
32,2.339028494388281,-2.2659773849786e-06
33,2.2741859146633496,2.2487419752817547e-07
34,2.2170906156666175,-3.4307927432958117e-06
35,2.1675221356774226,-2.3033203074689423e-07
36,2.1252341075211536,3.761507587724264e-07
37,2.0895443961666187,4.619529144520907e-06
38,2.060060642469137,-2.8009928662558943e-06
39,2.036209291416457,-1.6016611466111956e-06
40,2.0174387626702046,-2.171655991015653e-06
41,2.0038461118210136,-2.8072656100989264e-06
42,1.9951078864092733,-9.404383970805873e-07
43,1.9916527030867384,-2.0643620345040077e-06
44,1.9935785402809405,-2.5905823101634145e-06
45,1.9999639044541146,-9.243248593227857e-07
46,2.0088984026393786,-7.623502821515749e-07
47,2.0190212624100323,-8.131415372648183e-07
48,2.0302884044631124,-3.997993702645473e-06
49,2.0419584230111867,-3.636500969114108e-06
50,2.0537667585116717,3.4536259521657437e-07
51,2.065525168693932,1.1894179458529687e-06
52,2.07707871333369,-4.080276154644528e-06
53,2.0890798330125433,-2.660002223814057e-06
54,2.1014277118366294,-3.1731534874264657e-06
55,2.113988615589421,1.3230008480034658e-06
56,2.126538966553517,8.558840233064513e-07
57,2.138794212660949,-2.824767613591605e-06
58,2.150707902566558,-7.51615594921462e-07
59,2.1617019526980816,-1.2075609740742931e-07
60,2.1714433367364565,-1.0532572519336808e-06
61,2.181854336403232,-3.920652429627085e-07
62,2.192906822633278,-1.0182469078046481e-06
63,2.2036484686934736,-1.9479937862246157e-06
64,2.21422553759345,1.0844610784986667e-06
65,2.225598126984434,-8.0405158491906e-07
66,2.2377577482119735,-2.8093189786441455e-07
67,2.2510746735866705,-2.094048526452709e-06
68,2.2660993481422635,-1.7771169698398649e-06
69,2.2826448730250632,-2.163327339880283e-06
70,2.301133019158061,-1.0193799139950837e-06
71,2.3207874174695076,-8.023404759194056e-07
72,2.3397829003338155,-2.342546487622192e-06
73,2.359975929729342,-3.300351552442143e-06
74,2.380571143915324,-1.5604717262208942e-06
75,2.400975916545042,-8.330286805176369e-07
76,2.4210240911615313,-5.604214609035497e-07
77,2.4407017380640275,-5.240437968541679e-06
78,2.460506338103294,-6.185228014721905e-07
79,2.480193507398284,-1.8207878912064529e-06
80,2.500429237469719,1.733024226695927e-06
81,2.5209629770859023,-1.6863297655480595e-06
82,2.5418136902408204,-1.4678724004874414e-06
83,2.5632099245102404,-2.0136957919075695e-07
84,2.585284904839841,-1.598958775770159e-06
85,2.6086479187212177,-1.1022934383375277e-06
86,34.04909030501646,6.98452298478003e-07
87,2.6583101067912063,-3.2633272475629614e-06
88,2.68370220529731,-2.0054056027050995e-06
89,2.70859278097677,-8.84573795065938e-07
90,2.732859177924101,-6.258353867663335e-07
91,2.7564641058656814,4.8507822945959364e-08
92,2.7793532568092134,-2.864684297990362e-07
93,2.8016554934101077,-1.4796594351389688e-06
94,2.8237365789780973,-6.528406875656485e-07
95,2.847223404016999,-6.02977435963854e-08
96,2.8731328777439127,-1.376725158141889e-06
97,2.8980966765991103,-3.521986029814169e-06
98,2.922367242108615,-4.012235351132708e-06
99,-7989.264964492202,-1.8869381163312277e-06
100,-3.311726599044629,-8.937333753811845e-07
101,2.9964043828780373,-2.0056565553597618e-06
102,3.0212689597636024,-3.632609240944487e-07
103,3.045855737768189,-1.865722726329882e-06
104,3.0703686781301336,-3.85656398360806e-06
105,3.0947613754939964,-7.03408401488087e-08
106,3.1183543321217053,-3.1018135501822115e-06
107,3.140377487665528,-2.7111277820700187e-06
108,3.162210578062094,-5.374687409343377e-07
109,3.1841334255077336,1.9497358438679512e-07
110,3.205942196260949,-1.0010240448354028e-06
111,3.228801717306546,-3.241555133471127e-06
112,3.254087708455453,1.6224627163688303e-07
113,3.2811678845141916,-1.3477259368860177e-06
114,3.3084524014536543,-6.378965574105247e-06
115,3.334486384514375,4.382027490554423e-06
116,3.359373416019375,-3.5166284270545216e-06
117,3.383826813664221,-4.434047619263464e-06
118,3.4079835480971568,-4.705937519373682e-06
119,3.431777897468563,-1.1473282130702948e-06
120,3.455057073454658,-9.507286964080065e-07
121,3.477993164053584,5.262164759596264e-06
122,3.500746758499602,-3.7782575984712646e-06
123,3.52322012652779,-2.3842621150704546e-06
124,3.5461023105582554,-3.464298332929313e-06
125,3.570263989438706,1.184485930213578e-06
126,3.596931536939603,-4.1315316150472096e-06
127,3.6271544512151515,-3.7558843770645564e-07
128,3.663263491280757,-2.3840471785304377e-06
129,3.787063555850034,6.657182606473817e-06
130,3.895049079241213,-1.5450233998525682e-06
131,3.91903852050178,2.0914087532455547e-06
132,3.9404024337921633,2.0537530850137826e-06
133,3.9615320494108657,-6.360186149584569e-06
134,3.983122892521959,6.265661978132034e-06
135,4.004563573436284,-2.262497946305797e-07
136,4.026683139834369,-4.506863299301665e-06
137,4.049804412430673,-6.71179166012295e-06
138,4.074126293906193,-1.3723502567848401e-06
139,4.099525835255976,-7.632058720193476e-08
140,4.12606004356051,-2.5362818661072257e-07
141,4.153718423009533,-2.8565559530929205e-06
142,4.18189424986817,-8.030035035067994e-07
143,4.210180310872498,-2.178454627133723e-06
144,4.238726367089753,-1.6979865581370404e-06
145,4.26787702624102,-1.3101542997535316e-06
146,4.297614373266101,-1.98622114847273e-06
147,4.327633492558231,2.157745192186706e-06
148,4.3588064622213,-1.045284399470878e-07
149,4.391142286528881,-8.996486032959742e-07
150,4.4225309368274175,-4.612053070804519e-06
151,4.452763438596139,3.0725284238860256e-07
152,4.481623679264783,-3.641337767389242e-06
153,4.510688430422595,-2.062589435825999e-06
154,4.54147918535371,-2.875050131887763e-07
155,4.572010579189231,-3.818206954071322e-07
156,4.602234940279347,9.935072825897453e-07
157,4.633030449026313,-2.849642614577279e-06
158,4.664342483407494,-1.5130052630821662e-07
