,Interferometric Phase,PTI Signal
0,2.600075648757985,1.128876066394702e-06
1,2.551559845310718,1.050119382359344e-06
2,2.516597994245144,1.4028551632641958e-06
3,2.493211864039154,2.022570278468839e-06
4,2.476150929971477,1.0436578537393829e-06
5,2.460217056368555,8.340647853135271e-07
6,2.4527514684617673,4.153974339897329e-06
7,2.4565850804757132,-4.688610799132287e-08
8,2.473313338986961,1.292691681667074e-06
9,2.509209501843533,1.5497245791374e-06
10,2.5653696876211405,1.8757219823379287e-06
11,2.635444608134296,2.3016746988990656e-06
12,2.707658781125776,2.846816846048678e-06
13,2.7678002542339057,2.11217220548715e-06
14,2.80720048721642,1.0142299880434974e-06
15,2.8300527199960643,2.5238307563731803e-06
16,2.8436524939983774,1.2841951556224377e-06
17,2.8564446405898045,3.027214874849734e-06
18,2.8739190504822836,8.802130200089961e-07
19,2.8923276514447833,1.639651632667562e-06
20,2.90544121954144,2.7386837483055037e-06
21,2.9106575349598036,2.177007847902433e-06
22,2.902281358925657,2.7090122171001447e-06
23,2.878544010608144,1.2354830865241104e-06
24,2.842975859809205,1.5296673489707098e-06
25,2.8053473554426818,2.5786381739388196e-06
26,2.777954027371267,-6.335891788605919e-07
27,2.754678538142606,3.212796049620835e-06
28,2.730195425971217,7.873383045616286e-07
29,2.710312164209809,4.263328878934009e-08
30,2.6976798963082547,9.084921945914168e-07
31,2.6911897688909536,1.7816257430106763e-06
32,2.6916899262457874,2.3354864441242215e-06
33,2.702459167105282,2.662748135326379e-06
34,2.716531089267707,2.63052147936579e-06
35,2.7232839555300363,3.0644887795529695e-06
36,2.717015003204286,2.3385460193309475e-06
37,2.7028799187507024,2.246115188685366e-06
38,2.687014580750219,2.290709647579776e-06
39,2.6711777966091117,5.692571437309646e-07
40,2.653247477176616,2.6178867206560127e-06
41,2.632632922751824,2.267447994879711e-06
42,2.6091452476202646,1.7861227542406604e-06
43,2.5842831908833883,2.299653589494355e-06
44,2.5611935791877856,8.123350258092394e-07
45,2.5419864999370234,2.0139451162490553e-06
46,2.5258035163273207,1.7836003539767332e-06
47,2.5100139582498304,5.192560661918134e-07
48,2.496224187577354,2.628376155732144e-06
49,2.488257746312264,8.024516454136822e-07
50,2.4890391909950256,5.026172678353008e-07
51,2.5012046528227567,1.8968543529406364e-06
52,2.520066640442651,2.371300298701168e-06
53,2.53958975901394,2.8335615085439624e-06
54,2.5581839368569375,7.02638926878425e-07
55,2.5758703228475706,2.655837809931151e-06
56,2.59298436134428,1.8606649880135653e-06
57,2.607829488791121,3.393794468625415e-06
58,2.6216436434879107,1.1839740127056165e-06
59,2.637363439067956,2.960813094209281e-06
60,2.6528406674590386,9.79640002300986e-07
61,2.666141547185608,1.8725885597828568e-06
62,2.679146757697702,4.381414849749858e-06
63,2.6851663691972747,1.3574683548812009e-06
64,2.6813199983121856,2.9548810374004615e-06
65,2.678097380966074,4.798275238314325e-07
66,2.6636415716307282,7.459971756755404e-07
67,2.6264787447412186,3.435112945503149e-06
68,2.576231745424094,1.3308486134852615e-06
69,2.5352552407866313,1.5731455619470335e-06
70,2.5040883338218016,2.1155008171858117e-06
71,2.4670961533846163,1.2216159730481842e-06
72,2.422527899409618,1.139809871595096e-06
73,2.3796246564141166,1.0889448862591284e-06
74,2.3442577680170698,1.3361266740699213e-06
75,2.318355670998553,2.8507767046741053e-06
76,2.3031272410861785,1.4751667541389553e-06
77,2.2957203863014186,2.7991110157711797e-06
78,2.2943754859247476,2.0379708711760788e-06
79,2.2920540659688524,1.1718247408271788e-06
80,2.2823103293330296,2.6344823174873333e-06
81,2.271461392205833,-3.5593477332467534e-07
82,2.270604342301434,2.4141507246075595e-06
83,2.2859083431816463,-2.4795153968391845e-07
84,2.3158695053298057,2.717995235724341e-06
85,2.3532819148344646,7.214367579446517e-07
86,2.3902430107147006,1.7297349973145437e-06
87,2.4232126633065123,2.1630955598150873e-06
88,2.449124887953993,1.6578100066461761e-06
89,2.464090712520973,2.3727066652575727e-06
90,2.4694734849798916,2.466615168139346e-06
91,2.4744336701225516,3.3519036201769284e-07
92,2.4848767394382567,2.6200276894073194e-06
93,2.4992569110144482,2.491669875750697e-06
94,2.510990060591265,2.2639004794958863e-06
95,2.515752291403823,6.746672691990297e-07
96,2.5135974569468935,3.0361155071103227e-06
97,2.506448456373514,1.6173680852467377e-06
98,2.493697099724057,2.513449297082719e-06
99,2.4747441666038856,1.994972432188576e-06
100,2.4516366898431885,7.806559179136609e-07
101,2.4282688046380523,1.4568166058597265e-06
102,2.4074208457581574,1.6180471885808637e-06
103,2.388189810434406,1.1760591183064737e-06
104,2.3744916050384033,1.8727107599976496e-06
105,2.3740600639468727,2.634462681259258e-06
106,2.3822124552353303,1.7451082957902794e-06
107,2.391195093439381,1.515165796355931e-06
108,2.3950247138148666,2.020811828229825e-06
109,2.392991903701797,2.315379691093829e-06
110,2.3847268045169057,1.8597701606445249e-06
111,2.3679335281075624,9.697262079378094e-07
112,2.345054877214159,1.0572984575946942e-06
113,2.3228277726819617,2.229462622285945e-06
114,2.30710424093004,1.1325718429823084e-06
115,2.299929955328228,2.3985717776512445e-06
116,2.3010838175962074,1.4946053650661602e-06
117,2.309706526498114,1.544169091537503e-06
118,2.3236178717263236,2.12156087828204e-06
119,2.3406456163224427,2.838677985577411e-06
120,2.357502849872051,1.6250329860107083e-06
121,2.370264090121431,1.048208118471439e-06
122,2.378586734448456,2.871148100393703e-06
123,2.3853381114685925,1.130701537705219e-06
124,2.391495289394836,1.649651223801539e-06
125,2.39897887464241,2.127600424623348e-06
126,2.410442354548767,2.3265872575702587e-06
127,2.425101615656452,1.265418481188363e-06
128,2.439984442673467,2.885609297374548e-06
129,2.4530761276476163,1.5567866553012124e-06
130,2.4656613977900017,1.6271086647619224e-06
131,2.4773631353746612,3.688263825731778e-06
132,2.487034690130341,1.6342027678416373e-06
133,2.4929844909203154,-1.1204312850613205e-07
134,2.493666653404801,9.486958184212701e-07
135,2.488650630477233,1.4303028016692636e-06
136,2.479041021438095,1.661295761939659e-06
137,2.46626859523562,2.636735532893048e-06
138,2.452361921420417,1.5798515381830234e-06
139,2.440901076465902,2.782765806974085e-06
140,2.4355180973763146,2.298544147453264e-07
141,2.4284253714261728,2.444581623321605e-06
142,2.407433059265274,3.5806714147409537e-06
143,2.3791805062274407,2.0085235551870786e-06
144,2.351294022586642,-3.9612758094272273e-07
145,2.325685108426486,3.0040658263950707e-06
146,2.299422632333922,8.049415289619007e-07
147,2.2744248463237464,1.9360014824116045e-06
148,2.252770023835587,8.975722926030216e-07
149,2.2327004036909432,1.6120679608895009e-06
150,2.2130129687911535,2.1269608789943323e-06
151,2.1948408149542815,4.193990462911714e-06
152,2.1817523293019065,-1.4988445357021593e-07
153,2.1777814049441546,-7.609008249984494e-07
154,2.1859208469205513,3.566081884425409e-06
155,2.1964634162474215,1.6069495290864401e-06
156,2.1998997525993635,1.941190378230063e-06
157,2.201107345552451,5.052634250842745e-07
158,2.2051646465998687,1.932924685126541e-06
159,2.210428354522991,2.1704896462608228e-06
160,2.210289323669905,2.9134947556173145e-06
161,2.2031935572492034,2.571501515490824e-06
162,2.1911341010158445,7.619738841358033e-07
163,2.1759778176437345,2.9850708836583127e-06
164,2.1581702637625546,3.891290176752406e-06
165,2.138665950647384,2.0693954015665517e-06
166,2.1195500084993277,5.987236590639166e-07
167,2.1038985106924746,2.30335830953138e-06
168,2.099309874557604,2.0235658961505833e-06
169,2.1087145585875566,1.1715047046388929e-06
170,2.100280995507306,3.2041246561633025e-06
171,2.08217818366096,2.4439233982959347e-06
172,2.0710111677335323,4.1796313138107313e-07
173,2.068402908831505,2.2008995668318625e-06
174,2.0717020940399493,7.717370488966159e-07
175,2.077992623563849,1.949259494336294e-06
176,2.083333819325524,7.15451087989802e-07
177,2.089051050286509,1.8543654940499906e-07
178,2.0958358824597543,3.3376142391853784e-06
179,2.0970144899021865,2.1576029600046346e-06
180,2.093225153976444,6.970521258050647e-07
181,2.0939476297776882,3.6017770124203586e-07
182,2.1044516930520203,2.7566515378636116e-06
183,2.1225882106165948,3.066746627927851e-06
184,2.1416866236289036,6.837667913589963e-07
185,2.154974969136261,2.715749458021426e-06
186,2.1612367772865433,3.928445879884588e-07
187,2.161653663517026,1.6249305915259967e-06
188,2.1586386529990054,1.882588005853738e-06
189,2.157011559058866,3.854860182517448e-06
190,2.158064817013468,2.3985164851582503e-07
191,2.164271411601135,2.4133661195366497e-06
192,2.1781838730286913,1.1972462285662067e-06
193,2.197493745877735,2.1127244832046231e-07
194,2.21696527727235,2.634733860162946e-06
195,2.230924603976034,9.8815790272603e-07
196,2.237424303596095,1.2647515851085187e-06
197,2.2384035638447686,1.104110660685008e-06
198,2.2371263789946387,2.153252008031421e-06
199,2.233641134778973,1.5511282834224933e-06
200,2.227084818458631,2.4308341648793357e-06
201,2.2198519455406918,1.285522207454482e-06
202,2.2154574705560153,3.0168193877098896e-06
203,2.2154647061166095,-1.2791698478647383e-08
204,2.2188454355471543,2.807108902388567e-06
205,2.221084271677878,2.9954925047914247e-06
206,2.2284720092221035,1.260445602917979e-06
207,2.24471580467004,1.4299671862504611e-06
208,2.26899502112564,2.03928481990574e-06
209,2.2971076962197206,2.448639601313223e-06
210,2.3208713140679746,1.3614004099016477e-07
211,2.3307467026195434,1.215200949838052e-07
212,2.3248008611664206,2.1302717547366717e-06
213,2.3069566746383527,7.669144014697489e-07
214,2.285709040178417,1.9782348824029697e-06
215,2.264722275509172,2.498735748353447e-06
216,2.245308173162704,2.4120893941657123e-06
217,2.229421525781746,2.7766112527565427e-06
218,2.218367208743055,7.37692076822539e-07
219,2.213061930576563,2.520055720109981e-06
220,2.211746950807888,2.326657401072104e-06
221,2.2112869816194802,2.867094906101237e-07
222,2.2090261317538795,8.938696267988578e-07
223,2.2051420458865465,1.9651974030452433e-06
224,2.2020968161386625,8.929429799104238e-07
225,2.2000198392133585,2.8562445499643305e-06
226,2.19511895999231,3.480595020458874e-06
227,2.185269835089761,5.491587560307218e-08
228,2.1730338380506433,2.636774573815608e-06
229,2.162953454986348,1.0750786214351023e-06
230,2.156153505259922,2.013360279167504e-06
231,2.1516933598063543,2.9893977677551898e-06
232,2.146676243336113,2.072520210627519e-06
233,2.139990208289362,2.588772079372127e-06
234,2.1319712302444906,9.2308824532133e-07
235,2.123017635289699,1.8836084383324062e-06
236,2.1191537845888324,1.544243067810933e-06
237,2.1263584102021302,1.561859284587338e-06
238,2.13252940942786,1.1564760269954229e-06
239,2.12261954531735,1.4126520073158066e-06
240,2.111185296622426,2.5122272244253168e-06
241,2.1060844106325454,1.7602827090431436e-06
242,2.1045191703476998,2.8256662841705933e-06
243,2.1039645372267826,2.2833003283487084e-06
244,2.1028718601301,1.7808454403344031e-06
245,2.084218675023795,3.0396534277178935e-06
246,2.03982634652642,2.3342814959066837e-06
247,1.990359678275823,2.0371974272814437e-07
248,1.9502619613063676,3.2777570680757666e-06
249,1.9245828653473231,1.8014247589365358e-06
250,1.9049593304338566,2.857648551013719e-06
251,1.8889390069091596,2.922397180014928e-06
252,1.8835863752382236,1.0111929588835712e-06
253,1.8975684305534999,3.389781085463744e-06
254,1.9287686220362956,5.409459645830827e-07
255,1.965687479270321,7.892721385183563e-07
256,1.9974344159540716,1.4125016761217017e-06
257,2.026978838547064,3.352995734403008e-06
258,2.0624412816752935,5.857473705869735e-07
259,2.1020408008589646,1.2538211874374714e-06
260,2.1328002097307923,2.9007501512093204e-06
261,2.150480082090282,1.948995983915022e-06
262,2.1642403850626537,-3.535039999943357e-07
263,2.179464036347965,2.7144301491699345e-06
264,2.1959408450664673,1.7347740336067418e-06
265,2.2103616052545987,-3.1868146628893143e-09
266,2.218576205436512,2.4503403684417293e-06
267,2.219201418059219,-3.286044087753664e-07
268,2.2134538430032826,1.6602382703131203e-06
269,2.203218375466804,2.210177638710745e-06
270,2.191784447252861,1.635985703094871e-06
271,2.165836071126946,3.2966373031460965e-06
272,2.1208405821788006,1.345822580900433e-06
273,2.0978477703490443,2.2439851793547587e-06
274,2.079441838657166,4.1352521121516155e-06
275,2.038125150325875,-2.264504984777616e-07
276,1.993537952583278,1.8864392660180475e-06
