PD1	PD2	PD3
0.698935725716011	0.749911405918657	0.494046384612393
0.551599569485869	0.508188024271356	0.910402584334081
0.551928444829693	0.507201398247557	0.91007370896062
0.551928444829693	0.509503525636676	0.908758207467124
0.552915070861282	0.507530273588805	0.912046961201898
0.553243946205185	0.508188024271356	0.911718085828265
0.552915070861282	0.510161276319446	0.909415958213803
0.552257320173536	0.512463403709717	0.908758207467124
0.554888322925002	0.511147902343738	0.909744833587195
0.554888322925002	0.509503525636676	0.910402584334081
0.554559447580999	0.510490151660858	0.909415958213803
0.556532699645321	0.514436655759238	0.911389210454667
0.559163702398881	0.518383159860276	0.908758207467124
0.561465829809309	0.519369785885954	0.911718085828265
0.566070084633163	0.524302916016869	0.908758207467124
0.568372212046598	0.528249420124655	0.908429332093836
0.573305342221655	0.526605043412746	0.912375836575564
0.574620843602461	0.529564921494524	0.911718085828265
0.579225098437917	0.532524799577848	0.913362462696772
0.581198350511517	0.535813553005587	0.911060335081104
0.583500477931681	0.539102306435258	0.907771581347362
0.585802605352886	0.541733309180396	0.908429332093836
0.590406860198437	0.544035436583418	0.908429332093836
0.593366738315659	0.547324190017979	0.907113830601026
0.595339990394781	0.550284068110776	0.904482827617051
0.602904123372019	0.546666439330909	0.909744833587195
0.602246372677886	0.555217198269026	0.904482827617051
0.607837253580833	0.555217198269026	0.908429332093836
0.608495004275719	0.558834827054615	0.905798329108765
0.615072511229487	0.560479203776146	0.909087082840446
0.616388012621318	0.565083458599142	0.9038250768714
0.61770351401351	0.567714461356942	0.900207447772755
0.622965519585909	0.569687713426158	0.900207447772755
0.624938771677062	0.573963092912016	0.897576444794508
0.62658314842032	0.579882849129033	0.892972189587793
0.628556400512988	0.580869475165865	0.891327812729855
0.635791658193231	0.581527225857192	0.892972189587793
0.638093785639308	0.584815979315099	0.892314438844517
0.645986794034608	0.5871181067369	0.890670061986916
0.648946672186365	0.589749109505958	0.889025685130155
0.651577674989551	0.593695613662126	0.88771018364535
0.650262173587766	0.597642117821412	0.880803800858902
0.656181929898824	0.600601995942938	0.87915942400715
0.660128434110542	0.603232998719118	0.877186171786142
0.66308831227163	0.60586400149671	0.874555168826649
0.667034816489495	0.607508378233424	0.875870670306131
0.670981320710906	0.612112633099183	0.870937539760791
0.672625697470878	0.614414760533706	0.868306536806299
0.675914450992687	0.616388012621318	0.863702281640974
0.676243326345005	0.61934789075426	0.859426901850311
0.681176456632781	0.622965519585909	0.854164895961615
0.68446521016111	0.625267647025668	0.852520519123088
0.688082839045197	0.62658314842032	0.853178269858403
0.691700467932364	0.629214151210729	0.847916263979476
0.696633598238043	0.632831780049955	0.843312008842115
0.696304722884151	0.637764910289798	0.837721127612245
0.701566728549529	0.638751536338398	0.835419000049653
0.69794909965387	0.642698040534913	0.83048586956356
0.704855482093767	0.644013541934507	0.826539365179741
0.705513232802928	0.650262173587766	0.818317481061114
0.707157609576288	0.651577674989551	0.813713225963079
0.710775238479991	0.652564301041141	0.812726599871423
0.713077365965826	0.656510805249667	0.80450471578492
0.71669499487476	0.658812932706248	0.8002293360674
0.717023870230277	0.660786184812836	0.7952962056304
0.718339371652612	0.664074938325765	0.789376449114841
0.720312623786914	0.667692567192817	0.782470066525448
0.721628125210318	0.67032357000709	0.777208060751721
0.72294362663415	0.672954572822947	0.771946054985432
0.724259128058413	0.675585575640394	0.767012924586242
0.726232380195614	0.678545453811932	0.757475539166041
0.72689013090823	0.68282083339663	0.748924779844005
0.727547881620955	0.684136334808164	0.744320524832277
0.727876756977357	0.687096212985596	0.738071893039332
0.729521133759777	0.691371592578857	0.728863383046728
0.728863383046728	0.692687093993038	0.72228587592218
0.729850009116343	0.695975847530285	0.713735116676302
0.729192258403239	0.69926460107011	0.708801986350304
