Setting,Detector 1,Detector 2,Detector 3
Amplitude [V],1.3184660020000236,0.5280627600870225,1.273386841955935
Offset [V],1.3330828389987848,0.5402025668409698,1.3218781305055158
Output Phases [deg],0.0,103.2071924472658,213.77004840626503
Response Phases [deg],85,85,85
