Setting,Detector 1,Detector 2,Detector 3
Amplitude [V],2.3900059964348905,1.0249911833812488,1.7049556069896512
Offset [V],2.6993845420120826,1.1504582858695318,1.933139137627782
Output Phases [deg],0.0,105.93644426714602,216.61474912539578
Response Phases [deg],109.77,123.16,120.06
