INFO 2023-01-02 16:47:23,917: Program closed
INFO 2023-01-02 16:50:07,889: Started Program
INFO 2023-01-02 16:50:08,826: Program closed
INFO 2023-01-02 16:50:52,054: Started Program
INFO 2023-01-02 16:50:53,091: Program closed
INFO 2023-01-02 16:51:00,897: Started Program
INFO 2023-01-02 16:51:01,949: Program closed
INFO 2023-01-02 16:51:19,595: Started Program
INFO 2023-01-02 16:52:34,061: Started Program
INFO 2023-01-02 16:52:35,255: Program closed
INFO 2023-01-02 16:53:36,678: Started Program
INFO 2023-01-02 16:53:39,564: Program closed
INFO 2023-01-02 16:53:42,338: Started Program
INFO 2023-01-02 16:53:49,815: Program closed
INFO 2023-01-02 16:53:56,907: Started Program
INFO 2023-01-02 16:54:00,228: Program closed
INFO 2023-01-02 16:54:35,331: Started Program
INFO 2023-01-02 16:54:37,182: Program closed
INFO 2023-01-02 16:54:44,884: Started Program
INFO 2023-01-02 16:54:46,452: Program closed
INFO 2023-01-02 16:56:01,566: Started Program
INFO 2023-01-02 16:56:03,448: Program closed
INFO 2023-01-02 16:56:19,169: Started Program
INFO 2023-01-02 16:56:21,156: Program closed
INFO 2023-01-02 16:56:51,480: Started Program
INFO 2023-01-02 16:56:53,456: Program closed
INFO 2023-01-02 16:57:44,096: Started Program
INFO 2023-01-02 16:57:45,570: Program closed
INFO 2023-01-02 16:57:55,720: Started Program
INFO 2023-01-02 16:57:57,646: Started Program
INFO 2023-01-02 16:58:00,511: Program closed
INFO 2023-01-02 16:58:26,429: Started Program
INFO 2023-01-02 16:58:28,421: Program closed
INFO 2023-01-02 16:58:41,651: Started Program
INFO 2023-01-02 16:58:43,821: Program closed
INFO 2023-01-02 16:59:31,523: Started Program
INFO 2023-01-02 16:59:35,943: Program closed
INFO 2023-01-02 17:00:18,716: Started Program
INFO 2023-01-02 17:00:32,015: Program closed
INFO 2023-01-02 17:01:09,287: Started Program
INFO 2023-01-02 17:01:12,675: Program closed
INFO 2023-01-02 17:01:19,977: Started Program
INFO 2023-01-02 17:01:25,514: Program closed
INFO 2023-01-02 17:01:33,960: Started Program
INFO 2023-01-02 17:01:36,078: Program closed
INFO 2023-01-02 17:03:06,668: Started Program
INFO 2023-01-02 17:14:35,498: Started Program
INFO 2023-01-02 17:14:45,908: Program closed
INFO 2023-01-02 17:14:48,272: Started Program
INFO 2023-01-02 17:15:53,793: Program closed
