Setting,Detector 1,Detector 2,Detector 3
Amplitude [V],0.0248751762355193,0.0126842504566295,0.0275960147843207
Offset [V],0.0252110169477172,0.0131453192086934,0.0289632926857707
Output Phases [deg],0.0,105,213
Response Phases [deg],331.0,343.0,343.0
