,Interferometric Phase,PTI Signal
0,2.60007564876126,1.128876066394441e-06
1,2.5515598453177146,1.0501193823584649e-06
2,2.516597994245144,1.4028551632641958e-06
3,2.4932118640395977,2.0225702784686785e-06
4,2.476150929971477,1.0436578537393829e-06
5,2.460217056368555,8.340647853135271e-07
6,2.452751468462192,4.153974339896937e-06
7,2.4565850804752887,-4.68861079913272e-08
8,2.473313338972979,1.2926916816706867e-06
9,2.509209501843533,1.5497245791374e-06
10,2.5653696876106804,1.8757219823400016e-06
11,2.635444608129512,2.301674698899453e-06
12,2.707658781125776,2.846816846048678e-06
13,2.7678002542341145,2.112172205487193e-06
14,2.80720048721642,1.0142299880434974e-06
15,2.8300527199960603,2.5238307563731786e-06
16,2.8436524939913177,1.2841951556208532e-06
17,2.856444640590008,3.0272148748498497e-06
18,2.8739190504818724,8.802130200089215e-07
19,2.892327651445197,1.639651632667715e-06
20,2.90544121954144,2.7386837483055037e-06
21,2.9106575349511337,2.177007847897813e-06
22,2.9022813589256566,2.7090122171001443e-06
23,2.8785440106079405,1.2354830865240575e-06
24,2.8429758597967396,1.52966734896739e-06
25,2.8053473554449924,2.5786381739396273e-06
26,2.777954027371062,-6.33589178860578e-07
27,2.7546785381545242,3.2127960496240616e-06
28,2.7301954259696424,7.873383045615548e-07
29,2.710312164214398,4.263328878934787e-08
30,2.6976798963198942,9.08492194591703e-07
31,2.6911897688909536,1.7816257430106763e-06
32,2.6916899262457874,2.3354864441242215e-06
33,2.702459167105177,2.66274813532637e-06
34,2.716531089268696,2.630521479365909e-06
35,2.7232839555301367,3.0644887795529856e-06
36,2.7170150032157006,2.338546019332187e-06
37,2.7028799187630703,2.2461151886862623e-06
38,2.6870145807504247,2.290709647579784e-06
39,2.6711777966091117,5.692571437309646e-07
40,2.653247477176721,2.6178867206560076e-06
41,2.6326329227404566,2.26744799488069e-06
42,2.6091452476202592,1.786122754240661e-06
43,2.584283190883494,2.299653589494334e-06
44,2.5611935791934872,8.123350258087307e-07
45,2.5419864999372352,2.0139451162490002e-06
46,2.5258035163091064,1.7836003539814705e-06
47,2.5100139582326833,5.192560661932558e-07
48,2.496224187577354,2.628376155732144e-06
49,2.488257746312244,8.02451645413685e-07
50,2.4890391909946215,5.026172678353381e-07
51,2.5012046528227567,1.8968543529406364e-06
52,2.5200666404612724,2.37130029869447e-06
53,2.53958975901394,2.8335615085439624e-06
54,2.558183936857043,7.026389268784168e-07
55,2.5758703228475706,2.655837809931151e-06
56,2.592984361344174,1.8606649880135814e-06
57,2.6078294887910207,3.3937944686254363e-06
58,2.6216436434782238,1.1839740127061785e-06
59,2.6373634390574403,2.9608130942103174e-06
60,2.652840667446319,9.796400023012074e-07
61,2.666141547185608,1.8725885597828568e-06
62,2.679146757697702,4.381414849749858e-06
