,RMS CH1,Response Phase CH1,RMS CH2,Response Phase CH2,RMS CH3,Response Phase CH3,DC CH1,DC CH2,DC CH3
0,4.1951521072669596e-07,-2.260583227617842,4.488624903340759e-07,-2.2462786334610385,8.683555154396487e-07,0.8884034427963826,0.04946975144855759,0.4775115689013679,3.000176408433839
0,3.618108920344078e-07,-2.4701528093009535,4.1106940133432775e-07,-2.674993970637565,7.688465831822999e-07,0.5624687951555892,0.05031783370610259,0.478381104507445,2.996692532141475
0,5.811122553448158e-07,-1.8054333687228903,6.301425773534748e-07,-1.7484764942706565,1.2107644940304827e-06,1.365790810519619,0.05163508846780851,0.479651816642498,2.9913947282464557
0,7.262759886534491e-07,-2.870464953910451,8.493258300891171e-07,-3.0025613548873826,1.572187368873191e-06,0.1999138623327812,0.05330287398228022,0.48115584580387427,2.9849400986042385
0,7.547694046542501e-07,-2.4058230381500225,8.766337800490054e-07,-2.498289597457544,1.629669652450289e-06,0.6860803016319639,0.054942774308582784,0.4826313306614151,2.978661319780703
0,4.4019008127205894e-07,-3.0618754244752697,4.7371581245899285e-07,-3.1314569856005177,9.133535988554177e-07,0.04364966879128442,0.055565174700906134,0.48319712913216367,2.9763271639530458
0,3.196132903071889e-07,-2.6744017576211667,3.4430207898329784e-07,-2.7579760189876557,6.633366027819291e-07,0.423848938021238,0.055046363936988855,0.48275083297853416,2.978214946529492
0,3.9635724352351347e-07,-2.434043545571968,4.372901762686744e-07,-2.3203166322929274,8.323032542902812e-07,0.7672076239202491,0.054733225967277394,0.4824687837597099,2.979282575207771
0,3.8536928507707726e-07,-2.379609481639122,3.948726190729438e-07,-2.5681573563357474,7.767777571402546e-07,0.6665575661811225,0.0549202148729168,0.4826244992789979,2.9783323220675055
0,1.9568036830850107e-06,-2.055569571943112,2.108783988241395e-06,-2.062283530559498,4.065564795176353e-06,1.0825406108487572,0.054911044827904196,0.482628318102998,2.9784724577815367
0,3.5125025365983003e-07,-0.480659553627192,3.18498968844573e-07,-0.3157425761193047,6.674790161550107e-07,2.7393501591980187,0.05453885476910452,0.48230641186131595,2.979752883517551
0,2.5830061163297763e-07,-2.178752789460162,2.646242258097751e-07,-1.941249458406015,5.192425767888912e-07,1.0830343548403816,0.053859671358529815,0.4817380195905198,2.9824379223397655
0,4.414671359379265e-07,-2.3182169324905257,4.6293691521710727e-07,-2.4825805410161754,9.013533885786344e-07,0.7392385895430061,0.05325393582018959,0.48121120312608845,2.984815336278358
0,5.923950154881258e-07,-2.552988440802947,6.317713813914884e-07,-2.6183090819145636,1.2235142235315196e-06,0.5548929715957927,0.05291496920379727,0.48092816638863484,2.9863704402934976
0,4.462944757464146e-07,-2.1032707189506206,5.306587407243758e-07,-2.0833935819944727,9.76905327326611e-07,1.0491187708541188,0.05239884632020426,0.48045910104407974,2.9883286594641003
0,6.051391672430485e-07,-2.1589872911187347,6.576079105221541e-07,-2.2424228053436988,1.2616503104373757e-06,0.9391531750554681,0.052302632733662084,0.4803690055473453,2.9887294998654292
0,3.57322607370962e-07,-2.112171952509741,3.307232831247368e-07,-2.3371734841582756,6.837029023007445e-07,0.9212875422267348,0.05236887333779235,0.4804207315502932,2.9885461810512566
0,6.09536265834612e-07,-1.8651924860875913,7.208819350345726e-07,-1.8544748483657763,1.3303992319492288e-06,1.2822074821394587,0.05223117264245424,0.48033562365005034,2.989263339206906
0,3.7824474075117134e-07,-2.9549665461309402,4.2321847371372803e-07,-3.0280711392344877,8.009295547227668e-07,0.1480217848169287,0.051510739658217314,0.4796588230283555,2.992074159006737
0,4.009490968766781e-07,-1.2198785126203633,4.2633963080931025e-07,-1.2500264910467571,8.271948276007076e-07,1.906177477013713,0.05066530777385874,0.4788234380832163,2.995458807871871
0,3.5378334200809973e-07,-2.8020242474435872,3.9529690728815076e-07,-2.9200116388376838,7.477811374804474e-07,0.2773015298546142,0.05017790144564108,0.47836227289196226,2.9972424635890365
0,6.748330002087716e-07,-3.1002791682674213,8.062792406786135e-07,3.122237911804031,1.4804362320991975e-06,0.008286450281554817,0.049903712727056584,0.4780716172570989,2.998098682590093
0,5.99976288205341e-07,-2.729893081604056,7.533702098477788e-07,-2.7244574173735656,1.3533415639468743e-06,0.41472545524710736,0.04993396074837761,0.4780646421218451,2.9977114345484694
0,1.7325032321994386e-07,-2.2428713750386047,2.3265953184181304e-07,-2.559728881680318,4.009359699009458e-07,0.7169130898277725,0.050493877315154416,0.4786102526995786,2.9955790143483383
0,4.916654050103316e-07,-2.372393148914157,5.133038996667911e-07,-2.4159270699218447,1.004731346945333e-06,0.7469637949042105,0.05191176503816866,0.4799632914314107,2.9900777812110064
0,3.730885503898286e-07,-2.4351810947172403,4.1292948512605287e-07,-2.468419065902593,7.859097714706322e-07,0.6889501285810374,0.05371630111282346,0.48161357967789925,2.9832607822273367
0,9.008111409543803e-07,-2.348626999320028,9.449524116669493e-07,-2.4037277545770768,1.8450635088254926e-06,0.7647562451647064,0.05523912240761126,0.4829434054626551,2.9775345033940783
0,4.639219413840023e-07,-2.588450580978407,5.09366928948037e-07,-2.7108992728747414,9.714692714886912e-07,0.4890554585354779,0.05572155928500424,0.48333105047905817,2.9754809564658626
0,7.052269955230503e-07,-2.251878832846776,7.704579447127588e-07,-2.2716615687325916,1.4756128919969497e-06,0.8793852020668992,0.053813527343656645,0.48163308630696744,2.9825975561077906
0,5.542510407941664e-07,-2.024288252299159,5.983659819373272e-07,-1.991289182849525,1.1524603649838059e-06,1.1344354918144304,0.05155263307395881,0.47956792126587766,2.99095479182575
0,1.4172054760331875e-07,-2.958799103631431,1.4093048218851516e-07,-2.935379451083699,2.826316516056395e-07,0.19447064346053017,0.05069918130688763,0.4787321175625168,2.9943355598228947
0,3.986647052082847e-07,-2.1004348625855993,4.0475874972961877e-07,-2.1826473959382344,8.027448071630308e-07,0.9997395535994071,0.05055794886269893,0.4786017087838436,2.9947635974376676
0,3.290161177960455e-07,2.758859022043442,4.5813407673657705e-07,2.6162938474637505,7.852050571056399e-07,-0.465728165748466,0.05051800572221444,0.4785636267955104,2.9948978087595806
0,3.4129618703833624e-07,-2.6384270278321975,3.404232752894128e-07,-2.7815045260444626,6.79975759623106e-07,0.4317186354565171,0.05103729780264146,0.47903816099551993,2.9927351354045713
