Demodulated Signal 1,Demodulated Signal 2,Demodulated Signal 3,Interferometric Phase,PTI Signal,Response Phase 1,Response Phase 2,Response Phase 3,Root Mean Square 1,Root Mean Square 2,Root Mean Square 3
2.46918e-05,-5.29992e-06,-1.93919e-05,-1.20869,1.81737e-05,2.31252,-0.816525,-0.832504,2.48489e-05,5.34164e-06,1.95079e-05
2.10116e-05,-4.95164e-06,-1.60599e-05,-1.19644,1.55433e-05,2.39824,-0.820096,-0.720113,2.14313e-05,4.98841e-06,1.6462e-05
2.48882e-05,-4.71106e-06,-2.01771e-05,-1.17181,1.86092e-05,2.28177,-0.837478,-0.865053,2.49717e-05,4.7367e-06,2.02364e-05
2.0616e-05,-3.45326e-06,-1.71628e-05,-1.14904,1.55782e-05,2.42828,-0.842576,-0.688081,2.11651e-05,3.47025e-06,1.77295e-05
2.47346e-05,-3.70954e-06,-2.1025e-05,-1.13806,1.87899e-05,2.28451,-0.811038,-0.865256,2.48232e-05,3.74138e-06,2.10864e-05
2.13994e-05,-3.64183e-06,-1.77577e-05,-1.13697,1.62651e-05,2.2925,-0.846068,-0.84971,2.14913e-05,3.65851e-06,1.78329e-05
2.22456e-05,-3.5297e-06,-1.87159e-05,-1.14231,1.68641e-05,2.3708,-0.891576,-0.748471,2.2574e-05,3.53412e-06,1.90704e-05
2.59347e-05,-4.31078e-06,-2.1624e-05,-1.15114,1.95776e-05,2.28417,-0.787248,-0.871533,2.60269e-05,4.36264e-06,2.16772e-05
2.30241e-05,-4.70219e-06,-1.83219e-05,-1.16158,1.72958e-05,2.4018,-0.797113,-0.725278,2.3501e-05,4.7517e-06,1.87591e-05
2.36667e-05,-4.19465e-06,-1.94721e-05,-1.17164,1.76972e-05,2.3455,-0.844188,-0.785814,2.39195e-05,4.21463e-06,1.97107e-05
2.40355e-05,-4.87295e-06,-1.91626e-05,-1.17916,1.7913e-05,2.25066,-0.859961,-0.898818,2.40664e-05,4.88923e-06,1.91801e-05
2.2854e-05,-4.89948e-06,-1.79546e-05,-1.18301,1.70038e-05,2.35848,-0.821555,-0.772703,2.3144e-05,4.93499e-06,1.82137e-05
2.48734e-05,-5.00983e-06,-1.98635e-05,-1.1853,1.84877e-05,2.32544,-0.837982,-0.81066,2.50704e-05,5.03685e-06,2.0035e-05
2.35096e-05,-4.80529e-06,-1.87043e-05,-1.18509,1.74756e-05,2.32184,-0.847744,-0.81259,2.36852e-05,4.82653e-06,1.8861e-05
2.30699e-05,-5.04548e-06,-1.80244e-05,-1.18136,1.71768e-05,2.33566,-0.861447,-0.790529,2.32839e-05,5.06173e-06,1.82321e-05
2.38621e-05,-4.59469e-06,-1.92674e-05,-1.17364,1.78273e-05,2.41234,-0.812898,-0.709695,2.44104e-05,4.633e-06,1.97974e-05
2.43273e-05,-4.31357e-06,-2.00137e-05,-1.16115,1.82784e-05,2.25826,-0.82035,-0.896989,2.43686e-05,4.34547e-06,2.00336e-05
2.1185e-05,-3.83394e-06,-1.7351e-05,-1.14452,1.60429e-05,2.41263,-0.834248,-0.706243,2.16731e-05,3.85613e-06,1.78429e-05
2.3265e-05,-2.97437e-06,-2.02906e-05,-1.12635,1.77768e-05,2.29479,-0.800569,-0.853616,2.33699e-05,3.0042e-06,2.03693e-05
2.13649e-05,-3.06215e-06,-1.83027e-05,-1.11146,1.64504e-05,2.27734,-0.864204,-0.864258,2.14289e-05,3.07135e-06,1.83575e-05
