i,X1,Y1,X2,Y2,X3,Y3,DC1,DC2,DC3
40,0.0000004228,-0.0000005190,0.0000000477,-0.0000002758,0.0000001219,0.0000000151,0.3330885084,0.0059600510,0.5540794784
41,0.0000005317,-0.0000007558,0.0000000751,-0.0000002362,0.0000002694,0.0000001673,0.3330509531,0.0059565697,0.5540804158
42,0.0000006897,-0.0000006405,0.0000000221,-0.0000002444,0.0000001657,0.0000003003,0.3330739563,0.0059558947,0.5540591305
43,-0.0000004764,-0.0000008186,0.0000000665,-0.0000003327,0.0000003917,0.0000011292,0.3338545355,0.0059733325,0.5531062181
44,0.0000003418,-0.0000001085,0.0000000101,-0.0000002722,0.0000000572,0.0000000326,0.3351943562,0.0060076519,0.5514178766
45,-0.0000000440,-0.0000018138,0.0000000431,-0.0000003588,0.0000001672,0.0000024587,0.3362348847,0.0060393713,0.5501281932
46,-0.0000003664,-0.0000009325,0.0000000821,-0.0000002645,0.0000006768,0.0000005007,0.3370465932,0.0060628155,0.5491236550
47,0.0000000395,-0.0000005433,0.0000000570,-0.0000002565,0.0000002406,-0.0000002469,0.3380477598,0.0060962723,0.5477711720
48,-0.0000003428,0.0000002916,0.0000000388,-0.0000001744,0.0000004120,-0.0000004356,0.3388225131,0.0061179665,0.5467524039
49,-0.0000004095,-0.0000004035,0.0000000837,-0.0000002514,-0.0000000994,0.0000007501,0.3394844630,0.0061428170,0.5459337024
50,-0.0000010960,-0.0000007281,-0.0000000000,-0.0000003318,0.0000021436,0.0000009353,0.3398643292,0.0061555422,0.5454053704
51,-0.0000015243,-0.0000001907,0.0000000619,-0.0000001788,0.0000019670,-0.0000013394,0.3395275316,0.0061460233,0.5457602144
52,-0.0000004092,-0.0000005837,0.0000000108,-0.0000002748,0.0000009964,0.0000008113,0.3382859498,0.0061089788,0.5472168239
53,-0.0000006410,-0.0000011832,0.0000000905,-0.0000002206,0.0000014884,0.0000013125,0.3372386954,0.0060758657,0.5484138420
54,-0.0000001260,0.0000006547,0.0000000759,-0.0000001751,-0.0000003478,-0.0000007009,0.3379940772,0.0061017412,0.5473586340
55,-0.0000004300,-0.0000014100,0.0000000381,-0.0000002566,0.0000015958,0.0000018498,0.3390114524,0.0061367294,0.5460554146
56,0.0000006737,0.0000009473,0.0000001586,-0.0000002344,-0.0000012584,-0.0000017945,0.3398061710,0.0061686675,0.5449643792
57,-0.0000005110,-0.0000002944,0.0000000311,-0.0000002690,0.0000005536,0.0000007098,0.3408443241,0.0062081995,0.5436997182
58,-0.0000016980,-0.0000005877,0.0000000231,-0.0000002437,0.0000006697,0.0000004682,0.3416512320,0.0062429626,0.5427079349
59,-0.0000000994,-0.0000002010,0.0000000525,-0.0000002645,0.0000008006,-0.0000002527,0.3422058729,0.0062679881,0.5419775678
60,0.0000005365,0.0000003225,0.0000000698,-0.0000002357,-0.0000004811,-0.0000015501,0.3428972645,0.0062942574,0.5410290674
61,0.0000000870,-0.0000004054,0.0000000164,-0.0000002251,-0.0000006211,-0.0000002846,0.3435089573,0.0063304205,0.5402697534
62,-0.0000004849,-0.0000001681,0.0000000719,-0.0000002899,0.0000013039,-0.0000010211,0.3437780891,0.0063402145,0.5399777215
63,0.0000003474,-0.0000008782,0.0000000567,-0.0000002971,-0.0000000580,0.0000013196,0.3438470113,0.0063458146,0.5398604776
64,-0.0000008964,0.0000000237,0.0000000950,-0.0000002029,0.0000010099,0.0000015611,0.3429220492,0.0063035263,0.5409153043
65,0.0000003883,0.0000004077,0.0000000716,-0.0000002279,-0.0000018026,-0.0000010055,0.3411518551,0.0062285686,0.5430622726
66,-0.0000003002,0.0000002515,0.0000000225,-0.0000002352,0.0000012449,-0.0000001909,0.3395238998,0.0061595923,0.5449129658
67,0.0000011227,0.0000004681,0.0000000798,-0.0000002200,-0.0000024302,0.0000003015,0.3386470633,0.0061268104,0.5458231015
68,0.0000005077,0.0000016880,-0.0000000180,-0.0000001956,-0.0000002822,-0.0000038196,0.3383890393,0.0061175977,0.5460166249
69,0.0000003503,0.0000008096,0.0000000865,-0.0000002376,0.0000000865,-0.0000020698,0.3383334315,0.0061138539,0.5460361291
70,0.0000016178,-0.0000011348,0.0000000346,-0.0000002446,-0.0000033900,0.0000013584,0.3383338940,0.0061145289,0.5460260302
71,0.0000010814,-0.0000003700,-0.0000000110,-0.0000002365,-0.0000005449,-0.0000004786,0.3384254882,0.0061178790,0.5458749086
72,0.0000004495,-0.0000004428,0.0000000806,-0.0000002630,0.0000000386,-0.0000008728,0.3382704663,0.0061094788,0.5460323858
73,0.0000011691,-0.0000012835,0.0000000873,-0.0000002315,-0.0000016100,0.0000026192,0.3380127986,0.0060986349,0.5462343771
74,0.0000006768,-0.0000006909,0.0000000432,-0.0000002975,-0.0000010818,-0.0000006761,0.3379243861,0.0060959473,0.5462965143
75,0.0000013894,-0.0000008697,0.0000001224,-0.0000002692,-0.0000016711,0.0000009341,0.3380690753,0.0060980536,0.5460220494
76,0.0000002334,-0.0000015439,0.0000000755,-0.0000002745,0.0000011926,0.0000022308,0.3381045178,0.0060989599,0.5459431452
77,0.0000002837,-0.0000001916,0.0000000506,-0.0000002746,-0.0000006298,0.0000004153,0.3379257238,0.0060954036,0.5461097152
78,0.0000022707,0.0000001550,0.0000001142,-0.0000002560,-0.0000034581,-0.0000021059,0.3376932659,0.0060843221,0.5463396348
79,0.0000007459,0.0000001167,0.0000000412,-0.0000001805,-0.0000017988,-0.0000010720,0.3374956817,0.0060736657,0.5465122979
80,0.0000015433,-0.0000034617,0.0000001357,-0.0000002486,-0.0000012926,0.0000045324,0.3374426617,0.0060751594,0.5465628988
81,0.0000004674,-0.0000007526,0.0000000763,-0.0000002177,-0.0000003856,0.0000001379,0.3375213479,0.0060725531,0.5464441613
82,-0.0000011805,-0.0000019228,0.0000001123,-0.0000002199,0.0000014468,0.0000020965,0.3376019093,0.0060773032,0.5463073194
83,-0.0000009772,-0.0000012349,0.0000000367,-0.0000003314,0.0000007579,0.0000005152,0.3377891420,0.0060828721,0.5460370540
84,0.0000007333,-0.0000005591,0.0000000578,-0.0000002710,-0.0000010418,0.0000001003,0.3380151990,0.0060927098,0.5457114320
85,-0.0000000815,-0.0000010371,0.0000000200,-0.0000002182,-0.0000001035,0.0000013964,0.3382004627,0.0060990974,0.5454113197
86,-0.0000000267,-0.0000011934,0.0000000743,-0.0000002243,0.0000000941,0.0000016536,0.3381895986,0.0060989724,0.5453748361
87,-0.0000012755,-0.0000006338,0.0000000433,-0.0000002438,0.0000015346,0.0000008793,0.3382028505,0.0061016537,0.5452807710
88,-0.0000008279,0.0000003232,0.0000000270,-0.0000002292,0.0000009557,-0.0000007330,0.3381751278,0.0060999849,0.5453055684
89,-0.0000009496,-0.0000005462,0.0000000408,-0.0000002340,0.0000017950,0.0000009834,0.3381070932,0.0060965286,0.5453588190
90,-0.0000014083,0.0000015600,0.0000000533,-0.0000002601,0.0000017689,-0.0000023408,0.3381223891,0.0060918348,0.5452756402
91,0.0000003102,-0.0000015705,0.0000000966,-0.0000003044,-0.0000007033,0.0000013523,0.3380878905,0.0060919785,0.5452829645
92,-0.0000006886,0.0000009620,-0.0000000159,-0.0000001997,0.0000006903,-0.0000002873,0.3380465721,0.0060845471,0.5453201293
93,0.0000013292,-0.0000014898,0.0000001009,-0.0000003302,-0.0000012680,0.0000008387,0.3378169272,0.0060774345,0.5455532986
94,-0.0000004962,0.0000007650,0.0000000145,-0.0000001698,0.0000003228,-0.0000006601,0.3376613427,0.0060717344,0.5457513090
95,-0.0000002867,0.0000006919,0.0000000260,-0.0000002381,0.0000006617,-0.0000002511,0.3374152329,0.0060700531,0.5460600516
96,0.0000003352,0.0000000305,0.0000000068,-0.0000002205,-0.0000001216,-0.0000004704,0.3372082786,0.0060603404,0.5462875277
