Heating,Detector 1,Detector 2,Detector 3,
1.27136,0.577772,0.245043,0.0383374,
1.27661,0.565582,0.25598,0.0405247,
1.28186,0.55183,0.266293,0.0452117,
1.28711,0.535266,0.275668,0.0530234,
1.29235,0.518076,0.284731,0.0620849,
1.2976,0.499636,0.292856,0.0748961,
1.30285,0.47932,0.299419,0.0886446,
1.3081,0.45963,0.305669,0.103643,
1.31334,0.438377,0.310669,0.121766,
1.31859,0.417124,0.314419,0.140827,
1.32384,0.395558,0.316294,0.162074,
1.32909,0.373368,0.317857,0.183947,
1.33433,0.351177,0.318169,0.20832,
1.33958,0.328674,0.316919,0.233942,
1.34483,0.307108,0.314731,0.259252,
1.35007,0.285543,0.311294,0.286124,
1.35532,0.26429,0.305981,0.313933,
1.36057,0.243349,0.300044,0.342368,
1.36582,0.223972,0.293169,0.371427,
1.37106,0.204594,0.284731,0.399549,
1.37631,0.187716,0.275981,0.427047,
1.38156,0.171464,0.266606,0.454231,
1.38681,0.155837,0.255355,0.482041,
1.39205,0.140835,0.244105,0.50985,
1.3973,0.128646,0.231292,0.534848,
1.40255,0.117707,0.219105,0.559845,
1.4078,0.107393,0.205667,0.583905,
1.41304,0.0989539,0.191292,0.606403,
1.41829,0.0939532,0.177854,0.627026,
1.42354,0.089265,0.164104,0.645461,
1.42879,0.0867647,0.149416,0.662334,
1.43403,0.0867647,0.135353,0.677333,
1.43928,0.0880148,0.120978,0.690144,
1.44453,0.0911403,0.10754,0.699205,
1.44978,0.0967661,0.0950398,0.706705,
1.45502,0.104892,0.082227,0.710767,
1.46027,0.114581,0.0700393,0.712954,
1.46552,0.126145,0.0587891,0.711079,
1.47076,0.139585,0.0487889,0.707017,
1.47601,0.155212,0.0391012,0.700143,
1.48126,0.172402,0.0312885,0.690456,
1.48651,0.191154,0.0234759,0.677333,
1.49175,0.211782,0.0169133,0.662022,
1.497,0.23241,0.0125382,0.642961,
1.50225,0.255539,0.00878811,0.624213,
1.5075,0.277729,0.00597556,0.602028,
1.51274,0.301483,0.00472553,0.577968,
1.51799,0.327111,0.00472553,0.551096,
1.52324,0.352427,0.00566305,0.522974,
