Heating,Detector 1,Detector 2,Detector 3,
3.86882,0.0948908,0.0978523,0.703892,
3.87406,0.0998915,0.0884771,0.70733,
3.87931,0.106142,0.0794145,0.709829,
3.88456,0.113643,0.0706643,0.711392,
3.88981,0.122082,0.0625391,0.711079,
3.89505,0.130208,0.0547265,0.709204,
3.9003,0.141147,0.0472263,0.70483,
3.90555,0.151774,0.0406637,0.700143,
3.91079,0.163651,0.0347261,0.693581,
3.91604,0.176777,0.0287885,0.685457,
3.92129,0.190217,0.0234759,0.676083,
3.92654,0.204906,0.0187883,0.665459,
3.93178,0.219596,0.0150382,0.653898,
3.93703,0.234286,0.0122257,0.640774,
3.94228,0.249913,0.00910062,0.626713,
3.94753,0.266165,0.00753809,0.611715,
3.95277,0.283042,0.00597556,0.595154,
3.95802,0.300857,0.00472553,0.576093,
3.96327,0.318672,0.00472553,0.557033,
3.96852,0.338988,0.00535055,0.53641,
3.97376,0.358366,0.00628806,0.515475,
3.97901,0.377431,0.0081631,0.492665,
3.98426,0.396808,0.0109757,0.468605,
3.98951,0.414936,0.0137882,0.447044,
3.99475,0.432126,0.0181633,0.423297,
