i,X1,Y1,X2,Y2,X3,Y3,DC D1 con scaled (V),DC D2 con scaled,DC D3 con scaled,Norm D1X,Norm D1Y,Norm D2X,Norm D2Y,Norm D3X,Norm D3Y,Norm DC1 (V),Norm DC2 (V),Norm DC3 (V),Normalised phase (rad),Ernest new,Ernest new phase (rad),Proj Ernest new, 
587,-8.07E-07,1.04E-06,7.35E-08,-1.72E-07,7.33E-07,-8.67E-07,3.19E-01,1.01E+00,1.88E-01,-2.50E-07,3.22E-07,2.20E-08,-5.15E-08,2.16E-07,-2.56E-07,-6.08E-01,1.51E+00,-9.01E-01,1.98E+00,4.22E-07,-9.11E-01,-4.21E-07,
588,4.12E-07,2.12E-06,-2.59E-07,-7.76E-08,-1.53E-07,-2.04E-06,3.29E-01,1.01E+00,1.80E-01,1.28E-07,6.56E-07,-7.74E-08,-2.32E-08,-4.50E-08,-6.01E-07,-5.79E-01,1.51E+00,-9.26E-01,1.96E+00,6.86E-07,-1.76E+00,-4.92E-07,
589,-1.58E-07,1.77E-06,4.86E-08,-7.62E-08,1.10E-07,-1.69E-06,3.38E-01,1.01E+00,1.72E-01,-4.91E-08,5.48E-07,1.45E-08,-2.28E-08,3.24E-08,-4.99E-07,-5.52E-01,1.50E+00,-9.49E-01,1.94E+00,5.61E-07,-1.48E+00,-4.95E-07,
590,-3.33E-06,3.32E-06,5.09E-07,-6.05E-07,2.83E-06,-2.71E-06,3.46E-01,1.00E+00,1.66E-01,-1.03E-06,1.03E-06,1.52E-07,-1.81E-07,8.33E-07,-7.99E-07,-5.28E-01,1.50E+00,-9.69E-01,1.93E+00,1.48E-06,-7.83E-01,-1.44E-06,
591,-4.80E-06,6.40E-06,5.54E-07,-1.05E-06,4.25E-06,-5.35E-06,3.52E-01,1.00E+00,1.61E-01,-1.49E-06,1.98E-06,1.65E-07,-3.13E-07,1.25E-06,-1.58E-06,-5.11E-01,1.49E+00,-9.83E-01,1.91E+00,2.50E-06,-9.27E-01,-2.50E-06,
592,-6.19E-06,7.35E-06,1.06E-06,-1.10E-06,5.13E-06,-6.25E-06,3.56E-01,1.00E+00,1.58E-01,-1.92E-06,2.28E-06,3.18E-07,-3.30E-07,1.51E-06,-1.84E-06,-5.00E-01,1.49E+00,-9.92E-01,1.91E+00,3.00E-06,-8.71E-01,-2.98E-06,
593,-8.75E-06,9.85E-06,1.61E-06,-1.71E-06,7.14E-06,-8.14E-06,3.57E-01,1.00E+00,1.58E-01,-2.71E-06,3.05E-06,4.82E-07,-5.10E-07,2.10E-06,-2.40E-06,-4.97E-01,1.49E+00,-9.94E-01,1.90E+00,4.11E-06,-8.44E-01,-4.06E-06,
594,-1.03E-05,1.18E-05,1.67E-06,-2.13E-06,8.66E-06,-9.65E-06,3.55E-01,1.00E+00,1.59E-01,-3.20E-06,3.65E-06,4.99E-07,-6.35E-07,2.55E-06,-2.85E-06,-5.01E-01,1.49E+00,-9.91E-01,1.91E+00,4.89E-06,-8.51E-01,-4.84E-06,
595,-1.23E-05,1.34E-05,2.16E-06,-2.29E-06,1.01E-05,-1.11E-05,3.52E-01,1.00E+00,1.61E-01,-3.80E-06,4.16E-06,6.44E-07,-6.85E-07,2.98E-06,-3.28E-06,-5.11E-01,1.49E+00,-9.83E-01,1.91E+00,5.69E-06,-8.31E-01,-5.61E-06,
596,-1.42E-05,1.65E-05,2.57E-06,-2.92E-06,1.16E-05,-1.36E-05,3.48E-01,1.00E+00,1.64E-01,-4.38E-06,5.11E-06,7.69E-07,-8.73E-07,3.41E-06,-4.00E-06,-5.23E-01,1.50E+00,-9.73E-01,1.92E+00,6.82E-06,-8.62E-01,-6.76E-06,
597,-1.39E-05,1.56E-05,2.54E-06,-2.87E-06,1.13E-05,-1.27E-05,3.44E-01,1.00E+00,1.67E-01,-4.29E-06,4.82E-06,7.59E-07,-8.58E-07,3.34E-06,-3.74E-06,-5.34E-01,1.50E+00,-9.64E-01,1.93E+00,6.56E-06,-8.43E-01,-6.48E-06,
598,-1.96E-05,1.63E-05,3.37E-06,-2.99E-06,1.62E-05,-1.33E-05,3.41E-01,1.00E+00,1.70E-01,-6.08E-06,5.06E-06,1.01E-06,-8.93E-07,4.79E-06,-3.93E-06,-5.44E-01,1.50E+00,-9.56E-01,1.94E+00,8.05E-06,-6.94E-01,-7.70E-06,
599,-1.79E-05,2.09E-05,3.10E-06,-3.68E-06,1.48E-05,-1.73E-05,3.39E-01,1.00E+00,1.72E-01,-5.56E-06,6.49E-06,9.26E-07,-1.10E-06,4.37E-06,-5.09E-06,-5.51E-01,1.50E+00,-9.50E-01,1.94E+00,8.71E-06,-8.62E-01,-8.64E-06,
600,-1.60E-05,1.68E-05,2.78E-06,-3.00E-06,1.33E-05,-1.38E-05,3.37E-01,1.01E+00,1.73E-01,-4.96E-06,5.20E-06,8.30E-07,-8.95E-07,3.91E-06,-4.06E-06,-5.57E-01,1.50E+00,-9.45E-01,1.95E+00,7.34E-06,-8.08E-01,-7.22E-06,
601,-1.94E-05,1.55E-05,3.29E-06,-2.76E-06,1.61E-05,-1.27E-05,3.35E-01,1.01E+00,1.75E-01,-6.00E-06,4.79E-06,9.82E-07,-8.26E-07,4.74E-06,-3.74E-06,-5.62E-01,1.50E+00,-9.41E-01,1.95E+00,7.85E-06,-6.73E-01,-7.46E-06,
602,-1.68E-05,1.89E-05,2.77E-06,-3.25E-06,1.40E-05,-1.57E-05,3.33E-01,1.01E+00,1.76E-01,-5.21E-06,5.86E-06,8.29E-07,-9.72E-07,4.14E-06,-4.62E-06,-5.68E-01,1.50E+00,-9.36E-01,1.95E+00,8.03E-06,-8.44E-01,-7.94E-06,
603,-1.29E-05,1.53E-05,2.09E-06,-2.60E-06,1.09E-05,-1.27E-05,3.30E-01,1.01E+00,1.79E-01,-4.01E-06,4.74E-06,6.25E-07,-7.78E-07,3.20E-06,-3.75E-06,-5.75E-01,1.50E+00,-9.29E-01,1.96E+00,6.38E-06,-8.69E-01,-6.33E-06,
604,-1.65E-05,1.28E-05,2.59E-06,-2.16E-06,1.39E-05,-1.06E-05,3.27E-01,1.01E+00,1.82E-01,-5.12E-06,3.96E-06,7.75E-07,-6.45E-07,4.11E-06,-3.13E-06,-5.87E-01,1.51E+00,-9.20E-01,1.97E+00,6.67E-06,-6.58E-01,-6.30E-06,
605,-1.50E-05,1.57E-05,2.17E-06,-2.49E-06,1.28E-05,-1.32E-05,3.21E-01,1.01E+00,1.86E-01,-4.64E-06,4.87E-06,6.50E-07,-7.44E-07,3.77E-06,-3.90E-06,-6.02E-01,1.51E+00,-9.06E-01,1.98E+00,6.95E-06,-8.10E-01,-6.84E-06,
606,-1.12E-05,1.28E-05,1.61E-06,-1.87E-06,9.57E-06,-1.09E-05,3.15E-01,1.01E+00,1.92E-01,-3.46E-06,3.96E-06,4.82E-07,-5.60E-07,2.82E-06,-3.21E-06,-6.22E-01,1.51E+00,-8.89E-01,1.99E+00,5.47E-06,-8.52E-01,-5.42E-06,
607,-1.24E-05,1.09E-05,1.73E-06,-1.64E-06,1.06E-05,-9.28E-06,3.08E-01,1.01E+00,1.98E-01,-3.83E-06,3.38E-06,5.16E-07,-4.91E-07,3.14E-06,-2.73E-06,-6.43E-01,1.51E+00,-8.70E-01,2.01E+00,5.35E-06,-7.23E-01,-5.16E-06,
608,-1.14E-05,1.29E-05,1.34E-06,-1.73E-06,1.00E-05,-1.11E-05,3.01E-01,1.01E+00,2.04E-01,-3.52E-06,3.99E-06,4.00E-07,-5.16E-07,2.95E-06,-3.29E-06,-6.63E-01,1.51E+00,-8.51E-01,2.02E+00,5.61E-06,-8.48E-01,-5.55E-06,
609,-9.84E-06,1.03E-05,1.27E-06,-1.21E-06,8.56E-06,-9.11E-06,2.95E-01,1.01E+00,2.09E-01,-3.05E-06,3.20E-06,3.81E-07,-3.63E-07,2.52E-06,-2.68E-06,-6.80E-01,1.52E+00,-8.35E-01,2.04E+00,4.68E-06,-8.09E-01,-4.61E-06,
610,-1.14E-05,1.01E-05,1.31E-06,-1.26E-06,1.01E-05,-8.85E-06,2.91E-01,1.01E+00,2.13E-01,-3.53E-06,3.13E-06,3.91E-07,-3.76E-07,2.97E-06,-2.61E-06,-6.93E-01,1.52E+00,-8.24E-01,2.04E+00,5.02E-06,-7.26E-01,-4.85E-06,
611,-1.03E-05,1.16E-05,9.17E-07,-1.22E-06,9.38E-06,-1.04E-05,2.89E-01,1.01E+00,2.14E-01,-3.19E-06,3.59E-06,2.74E-07,-3.63E-07,2.76E-06,-3.06E-06,-6.98E-01,1.52E+00,-8.18E-01,2.05E+00,5.13E-06,-8.45E-01,-5.07E-06,
612,-8.32E-06,1.02E-05,8.25E-07,-8.20E-07,7.49E-06,-9.38E-06,2.89E-01,1.01E+00,2.14E-01,-2.58E-06,3.16E-06,2.47E-07,-2.45E-07,2.21E-06,-2.76E-06,-6.98E-01,1.52E+00,-8.19E-01,2.05E+00,4.35E-06,-8.86E-01,-4.33E-06,
613,-1.06E-05,9.00E-06,9.75E-07,-7.34E-07,9.58E-06,-8.27E-06,2.90E-01,1.01E+00,2.13E-01,-3.27E-06,2.79E-06,2.91E-07,-2.19E-07,2.82E-06,-2.44E-06,-6.94E-01,1.52E+00,-8.22E-01,2.05E+00,4.58E-06,-7.06E-01,-4.40E-06,
614,-9.06E-06,1.25E-05,6.52E-07,-8.99E-07,8.41E-06,-1.16E-05,2.93E-01,1.01E+00,2.11E-01,-2.81E-06,3.86E-06,1.95E-07,-2.69E-07,2.48E-06,-3.41E-06,-6.86E-01,1.52E+00,-8.30E-01,2.04E+00,5.07E-06,-9.42E-01,-5.06E-06,
615,-6.43E-06,9.58E-06,3.87E-07,-5.84E-07,6.04E-06,-8.99E-06,2.99E-01,1.01E+00,2.05E-01,-1.99E-06,2.97E-06,1.16E-07,-1.75E-07,1.78E-06,-2.65E-06,-6.69E-01,1.51E+00,-8.46E-01,2.03E+00,3.77E-06,-9.80E-01,-3.77E-06,
616,-1.00E-05,9.07E-06,6.70E-07,-5.44E-07,9.36E-06,-8.52E-06,3.09E-01,1.01E+00,1.96E-01,-3.11E-06,2.81E-06,2.00E-07,-1.62E-07,2.76E-06,-2.51E-06,-6.37E-01,1.51E+00,-8.75E-01,2.00E+00,4.38E-06,-7.35E-01,-4.23E-06,
617,-9.68E-06,1.32E-05,6.80E-07,-9.68E-07,9.00E-06,-1.22E-05,3.26E-01,1.01E+00,1.83E-01,-3.00E-06,4.07E-06,2.03E-07,-2.89E-07,2.65E-06,-3.59E-06,-5.90E-01,1.51E+00,-9.17E-01,1.97E+00,5.21E-06,-9.36E-01,-5.20E-06,
618,-6.40E-06,1.12E-05,3.54E-07,-9.16E-07,6.05E-06,-1.02E-05,3.45E-01,1.00E+00,1.67E-01,-1.98E-06,3.46E-06,1.06E-07,-2.74E-07,1.78E-06,-3.02E-06,-5.31E-01,1.50E+00,-9.66E-01,1.93E+00,4.04E-06,-1.05E+00,-4.03E-06,
619,-1.03E-05,9.34E-06,9.07E-07,-7.02E-07,9.37E-06,-8.64E-06,3.66E-01,1.00E+00,1.51E-01,-3.18E-06,2.89E-06,2.71E-07,-2.10E-07,2.76E-06,-2.55E-06,-4.70E-01,1.49E+00,-1.02E+00,1.89E+00,4.30E-06,-7.38E-01,-4.16E-06,
620,-1.05E-05,1.36E-05,1.34E-06,-1.60E-06,9.20E-06,-1.20E-05,3.86E-01,9.96E-01,1.36E-01,-3.27E-06,4.21E-06,4.01E-07,-4.79E-07,2.71E-06,-3.53E-06,-4.11E-01,1.47E+00,-1.06E+00,1.84E+00,5.26E-06,-9.10E-01,-5.25E-06,
621,-7.31E-06,1.29E-05,9.87E-07,-2.04E-06,6.32E-06,-1.09E-05,4.05E-01,9.91E-01,1.23E-01,-2.26E-06,4.00E-06,2.95E-07,-6.10E-07,1.86E-06,-3.21E-06,-3.55E-01,1.46E+00,-1.10E+00,1.81E+00,4.51E-06,-1.06E+00,-4.50E-06,
622,-1.08E-05,1.02E-05,1.67E-06,-1.71E-06,9.14E-06,-8.50E-06,4.21E-01,9.87E-01,1.12E-01,-3.35E-06,3.16E-06,4.98E-07,-5.11E-07,2.69E-06,-2.50E-06,-3.07E-01,1.44E+00,-1.14E+00,1.77E+00,4.48E-06,-7.57E-01,-4.36E-06,
623,-1.24E-05,1.38E-05,2.74E-06,-2.65E-06,9.71E-06,-1.11E-05,4.34E-01,9.83E-01,1.04E-01,-3.86E-06,4.27E-06,8.18E-07,-7.93E-07,2.86E-06,-3.28E-06,-2.68E-01,1.43E+00,-1.16E+00,1.75E+00,5.58E-06,-8.36E-01,-5.51E-06,
624,-1.02E-05,1.32E-05,2.41E-06,-3.46E-06,7.83E-06,-9.76E-06,4.43E-01,9.80E-01,9.83E-02,-3.17E-06,4.10E-06,7.21E-07,-1.03E-06,2.31E-06,-2.88E-06,-2.42E-01,1.42E+00,-1.18E+00,1.73E+00,5.01E-06,-9.12E-01,-4.99E-06,
625,-1.31E-05,1.25E-05,3.17E-06,-3.13E-06,9.92E-06,-9.32E-06,4.48E-01,9.78E-01,9.51E-02,-4.06E-06,3.86E-06,9.48E-07,-9.36E-07,2.92E-06,-2.75E-06,-2.26E-01,1.41E+00,-1.19E+00,1.72E+00,5.40E-06,-7.60E-01,-5.26E-06,
626,-1.36E-05,1.42E-05,4.18E-06,-4.00E-06,9.41E-06,-1.02E-05,4.50E-01,9.77E-01,9.40E-02,-4.21E-06,4.41E-06,1.25E-06,-1.20E-06,2.77E-06,-3.01E-06,-2.21E-01,1.41E+00,-1.19E+00,1.72E+00,5.88E-06,-8.09E-01,-5.78E-06,
627,-1.30E-05,1.43E-05,4.08E-06,-4.82E-06,8.96E-06,-9.49E-06,4.47E-01,9.78E-01,9.56E-02,-4.04E-06,4.43E-06,1.22E-06,-1.44E-06,2.64E-06,-2.80E-06,-2.29E-01,1.42E+00,-1.19E+00,1.72E+00,5.79E-06,-8.32E-01,-5.72E-06,
628,-1.43E-05,1.31E-05,4.46E-06,-4.43E-06,9.86E-06,-8.69E-06,4.40E-01,9.81E-01,1.00E-01,-4.44E-06,4.06E-06,1.33E-06,-1.32E-06,2.91E-06,-2.56E-06,-2.51E-01,1.42E+00,-1.17E+00,1.74E+00,5.82E-06,-7.41E-01,-5.64E-06,
629,-1.55E-05,1.63E-05,5.16E-06,-5.44E-06,1.03E-05,-1.08E-05,4.29E-01,9.84E-01,1.07E-01,-4.79E-06,5.04E-06,1.54E-06,-1.62E-06,3.04E-06,-3.19E-06,-2.83E-01,1.43E+00,-1.15E+00,1.76E+00,6.76E-06,-8.10E-01,-6.65E-06,
630,-1.25E-05,1.55E-05,4.33E-06,-5.37E-06,8.15E-06,-1.01E-05,4.18E-01,9.88E-01,1.14E-01,-3.87E-06,4.79E-06,1.29E-06,-1.60E-06,2.40E-06,-2.98E-06,-3.16E-01,1.44E+00,-1.13E+00,1.78E+00,6.00E-06,-8.92E-01,-5.97E-06,
631,-1.63E-05,1.35E-05,5.46E-06,-4.77E-06,1.08E-05,-8.77E-06,4.09E-01,9.90E-01,1.20E-01,-5.04E-06,4.19E-06,1.63E-06,-1.43E-06,3.18E-06,-2.58E-06,-3.44E-01,1.45E+00,-1.11E+00,1.80E+00,6.42E-06,-6.94E-01,-6.14E-06,
632,-1.60E-05,1.84E-05,5.29E-06,-6.13E-06,1.07E-05,-1.22E-05,4.03E-01,9.92E-01,1.24E-01,-4.94E-06,5.69E-06,1.58E-06,-1.83E-06,3.14E-06,-3.61E-06,-3.60E-01,1.46E+00,-1.10E+00,1.81E+00,7.40E-06,-8.56E-01,-7.33E-06,
633,-1.22E-05,1.72E-05,4.04E-06,-5.60E-06,8.19E-06,-1.16E-05,3.99E-01,9.93E-01,1.27E-01,-3.79E-06,5.32E-06,1.21E-06,-1.67E-06,2.41E-06,-3.41E-06,-3.73E-01,1.46E+00,-1.09E+00,1.82E+00,6.42E-06,-9.52E-01,-6.41E-06,
634,-1.52E-05,1.40E-05,4.92E-06,-4.55E-06,1.03E-05,-9.49E-06,3.93E-01,9.94E-01,1.31E-01,-4.71E-06,4.35E-06,1.47E-06,-1.36E-06,3.03E-06,-2.80E-06,-3.89E-01,1.47E+00,-1.08E+00,1.83E+00,6.32E-06,-7.45E-01,-6.13E-06,
635,-1.66E-05,1.83E-05,5.04E-06,-5.75E-06,1.15E-05,-1.25E-05,3.87E-01,9.96E-01,1.35E-01,-5.14E-06,5.66E-06,1.50E-06,-1.72E-06,3.40E-06,-3.69E-06,-4.09E-01,1.47E+00,-1.06E+00,1.84E+00,7.56E-06,-8.34E-01,-7.47E-06,
636,-1.27E-05,1.83E-05,3.66E-06,-5.39E-06,9.00E-06,-1.29E-05,3.80E-01,9.97E-01,1.40E-01,-3.92E-06,5.66E-06,1.09E-06,-1.61E-06,2.65E-06,-3.79E-06,-4.29E-01,1.48E+00,-1.05E+00,1.86E+00,6.83E-06,-9.65E-01,-6.83E-06,
637,-1.38E-05,1.56E-05,3.94E-06,-4.38E-06,9.87E-06,-1.12E-05,3.73E-01,9.99E-01,1.45E-01,-4.28E-06,4.82E-06,1.18E-06,-1.31E-06,2.91E-06,-3.29E-06,-4.49E-01,1.48E+00,-1.03E+00,1.87E+00,6.42E-06,-8.45E-01,-6.35E-06,
638,-1.65E-05,1.70E-05,4.40E-06,-4.83E-06,1.21E-05,-1.22E-05,3.67E-01,1.00E+00,1.50E-01,-5.10E-06,5.28E-06,1.32E-06,-1.44E-06,3.56E-06,-3.60E-06,-4.68E-01,1.48E+00,-1.02E+00,1.88E+00,7.34E-06,-8.02E-01,-7.21E-06,
639,-1.47E-05,1.79E-05,3.54E-06,-4.66E-06,1.11E-05,-1.33E-05,3.61E-01,1.00E+00,1.55E-01,-4.55E-06,5.55E-06,1.06E-06,-1.39E-06,3.28E-06,-3.91E-06,-4.86E-01,1.49E+00,-1.00E+00,1.90E+00,7.21E-06,-8.84E-01,-7.16E-06,
640,-1.49E-05,1.69E-05,3.75E-06,-4.16E-06,1.12E-05,-1.27E-05,3.55E-01,1.00E+00,1.58E-01,-4.63E-06,5.22E-06,1.12E-06,-1.24E-06,3.30E-06,-3.74E-06,-5.01E-01,1.49E+00,-9.90E-01,1.91E+00,7.03E-06,-8.46E-01,-6.96E-06,
641,-1.52E-05,1.69E-05,3.43E-06,-4.21E-06,1.17E-05,-1.27E-05,3.51E-01,1.00E+00,1.62E-01,-4.70E-06,5.25E-06,1.03E-06,-1.26E-06,3.46E-06,-3.75E-06,-5.13E-01,1.49E+00,-9.81E-01,1.92E+00,7.12E-06,-8.40E-01,-7.04E-06,
642,-1.59E-05,1.67E-05,3.39E-06,-3.75E-06,1.25E-05,-1.30E-05,3.48E-01,1.00E+00,1.64E-01,-4.91E-06,5.18E-06,1.01E-06,-1.12E-06,3.68E-06,-3.83E-06,-5.23E-01,1.50E+00,-9.73E-01,1.92E+00,7.23E-06,-8.12E-01,-7.12E-06,
643,-1.57E-05,1.74E-05,3.39E-06,-3.73E-06,1.23E-05,-1.37E-05,3.45E-01,1.00E+00,1.66E-01,-4.86E-06,5.39E-06,1.01E-06,-1.12E-06,3.62E-06,-4.02E-06,-5.31E-01,1.50E+00,-9.66E-01,1.93E+00,7.36E-06,-8.37E-01,-7.27E-06,
644,-1.62E-05,1.75E-05,3.21E-06,-3.78E-06,1.30E-05,-1.37E-05,3.44E-01,1.00E+00,1.68E-01,-5.01E-06,5.42E-06,9.59E-07,-1.13E-06,3.83E-06,-4.04E-06,-5.36E-01,1.50E+00,-9.62E-01,1.93E+00,7.50E-06,-8.24E-01,-7.39E-06,
645,-1.61E-05,1.71E-05,2.93E-06,-3.37E-06,1.32E-05,-1.37E-05,3.43E-01,1.00E+00,1.68E-01,-4.99E-06,5.28E-06,8.76E-07,-1.01E-06,3.88E-06,-4.03E-06,-5.38E-01,1.50E+00,-9.60E-01,1.93E+00,7.38E-06,-8.14E-01,-7.27E-06,
646,-1.67E-05,1.81E-05,3.07E-06,-3.36E-06,1.37E-05,-1.47E-05,3.41E-01,1.00E+00,1.69E-01,-5.19E-06,5.60E-06,9.18E-07,-1.00E-06,4.03E-06,-4.34E-06,-5.42E-01,1.50E+00,-9.57E-01,1.94E+00,7.77E-06,-8.24E-01,-7.66E-06,
647,-1.64E-05,1.80E-05,2.96E-06,-3.28E-06,1.34E-05,-1.47E-05,3.39E-01,1.00E+00,1.72E-01,-5.07E-06,5.57E-06,8.84E-07,-9.80E-07,3.96E-06,-4.34E-06,-5.50E-01,1.50E+00,-9.50E-01,1.94E+00,7.68E-06,-8.32E-01,-7.59E-06,
648,-1.65E-05,1.85E-05,2.73E-06,-3.28E-06,1.37E-05,-1.52E-05,3.35E-01,1.01E+00,1.75E-01,-5.10E-06,5.72E-06,8.17E-07,-9.81E-07,4.05E-06,-4.48E-06,-5.62E-01,1.50E+00,-9.40E-01,1.95E+00,7.84E-06,-8.42E-01,-7.75E-06,
649,-1.64E-05,1.88E-05,2.63E-06,-3.08E-06,1.37E-05,-1.57E-05,3.30E-01,1.01E+00,1.79E-01,-5.07E-06,5.81E-06,7.86E-07,-9.20E-07,4.05E-06,-4.62E-06,-5.77E-01,1.50E+00,-9.27E-01,1.96E+00,7.92E-06,-8.53E-01,-7.84E-06,
650,-1.67E-05,1.85E-05,2.69E-06,-2.93E-06,1.40E-05,-1.56E-05,3.24E-01,1.01E+00,1.84E-01,-5.17E-06,5.73E-06,8.03E-07,-8.75E-07,4.13E-06,-4.59E-06,-5.94E-01,1.51E+00,-9.13E-01,1.97E+00,7.97E-06,-8.37E-01,-7.87E-06,
651,-1.66E-05,1.92E-05,2.49E-06,-3.03E-06,1.42E-05,-1.61E-05,3.18E-01,1.01E+00,1.89E-01,-5.16E-06,5.93E-06,7.45E-07,-9.05E-07,4.17E-06,-4.75E-06,-6.13E-01,1.51E+00,-8.96E-01,1.99E+00,8.16E-06,-8.55E-01,-8.08E-06,
652,-1.69E-05,1.86E-05,2.29E-06,-2.70E-06,1.46E-05,-1.59E-05,3.11E-01,1.01E+00,1.95E-01,-5.22E-06,5.77E-06,6.86E-07,-8.07E-07,4.29E-06,-4.69E-06,-6.33E-01,1.51E+00,-8.79E-01,2.00E+00,8.12E-06,-8.35E-01,-8.02E-06,
653,-1.75E-05,2.01E-05,2.40E-06,-2.60E-06,1.51E-05,-1.75E-05,3.04E-01,1.01E+00,2.01E-01,-5.44E-06,6.23E-06,7.18E-07,-7.77E-07,4.47E-06,-5.16E-06,-6.53E-01,1.51E+00,-8.60E-01,2.02E+00,8.69E-06,-8.53E-01,-8.60E-06,
654,-1.65E-05,2.00E-05,2.03E-06,-2.63E-06,1.44E-05,-1.74E-05,2.97E-01,1.01E+00,2.07E-01,-5.10E-06,6.20E-06,6.08E-07,-7.85E-07,4.26E-06,-5.13E-06,-6.73E-01,1.51E+00,-8.42E-01,2.03E+00,8.50E-06,-8.83E-01,-8.45E-06,
655,-1.69E-05,2.07E-05,1.74E-06,-2.32E-06,1.52E-05,-1.84E-05,2.92E-01,1.01E+00,2.12E-01,-5.23E-06,6.41E-06,5.19E-07,-6.94E-07,4.47E-06,-5.42E-06,-6.89E-01,1.52E+00,-8.27E-01,2.04E+00,8.81E-06,-8.87E-01,-8.76E-06,
656,-1.66E-05,1.97E-05,1.73E-06,-1.85E-06,1.49E-05,-1.79E-05,2.87E-01,1.01E+00,2.16E-01,-5.14E-06,6.11E-06,5.17E-07,-5.54E-07,4.38E-06,-5.27E-06,-7.01E-01,1.52E+00,-8.15E-01,2.05E+00,8.53E-06,-8.71E-01,-8.47E-06,
657,-1.81E-05,1.93E-05,1.69E-06,-1.80E-06,1.64E-05,-1.75E-05,2.84E-01,1.01E+00,2.18E-01,-5.61E-06,5.97E-06,5.04E-07,-5.37E-07,4.84E-06,-5.15E-06,-7.10E-01,1.52E+00,-8.07E-01,2.06E+00,8.78E-06,-8.16E-01,-8.65E-06,
658,-1.80E-05,2.12E-05,1.28E-06,-1.73E-06,1.67E-05,-1.95E-05,2.83E-01,1.01E+00,2.20E-01,-5.58E-06,6.57E-06,3.83E-07,-5.17E-07,4.93E-06,-5.75E-06,-7.15E-01,1.52E+00,-8.02E-01,2.06E+00,9.26E-06,-8.67E-01,-9.19E-06,
659,-1.61E-05,2.07E-05,1.03E-06,-1.33E-06,1.50E-05,-1.93E-05,2.82E-01,1.01E+00,2.20E-01,-4.97E-06,6.41E-06,3.07E-07,-3.98E-07,4.43E-06,-5.70E-06,-7.16E-01,1.52E+00,-8.01E-01,2.06E+00,8.71E-06,-9.11E-01,-8.69E-06,
660,-1.84E-05,1.96E-05,1.14E-06,-1.19E-06,1.72E-05,-1.84E-05,2.83E-01,1.01E+00,2.20E-01,-5.69E-06,6.07E-06,3.40E-07,-3.56E-07,5.08E-06,-5.42E-06,-7.15E-01,1.52E+00,-8.02E-01,2.06E+00,8.93E-06,-8.17E-01,-8.93E-06,
661,-1.84E-05,2.29E-05,8.55E-07,-1.20E-06,1.76E-05,-2.17E-05,2.84E-01,1.01E+00,2.18E-01,-5.71E-06,7.08E-06,2.55E-07,-3.58E-07,5.18E-06,-6.38E-06,-7.10E-01,1.52E+00,-8.07E-01,2.06E+00,9.75E-06,-8.92E-01,-9.73E-06,
662,-1.55E-05,2.17E-05,5.98E-07,-9.58E-07,1.49E-05,-2.08E-05,2.88E-01,1.01E+00,2.15E-01,-4.81E-06,6.74E-06,1.79E-07,-2.86E-07,4.40E-06,-6.13E-06,-7.00E-01,1.52E+00,-8.17E-01,2.05E+00,8.83E-06,-9.51E-01,-8.78E-06,
663,-1.82E-05,1.85E-05,7.06E-07,-7.52E-07,1.75E-05,-1.77E-05,2.94E-01,1.01E+00,2.09E-01,-5.64E-06,5.72E-06,2.11E-07,-2.25E-07,5.15E-06,-5.22E-06,-6.81E-01,1.52E+00,-8.35E-01,2.04E+00,8.51E-06,-7.93E-01,-8.50E-06,
664,-1.96E-05,2.24E-05,8.79E-07,-1.05E-06,1.87E-05,-2.14E-05,3.05E-01,1.01E+00,2.00E-01,-6.08E-06,6.94E-06,2.63E-07,-3.13E-07,5.52E-06,-6.29E-06,-6.51E-01,1.51E+00,-8.62E-01,2.01E+00,9.68E-06,-8.52E-01,-9.68E-06,
665,-1.58E-05,2.16E-05,6.76E-07,-1.18E-06,1.51E-05,-2.04E-05,3.18E-01,1.01E+00,1.89E-01,-4.88E-06,6.68E-06,2.02E-07,-3.53E-07,4.44E-06,-6.01E-06,-6.13E-01,1.51E+00,-8.96E-01,1.99E+00,8.58E-06,-9.40E-01,-8.54E-06,
666,-1.98E-05,1.92E-05,1.22E-06,-1.13E-06,1.86E-05,-1.81E-05,3.32E-01,1.01E+00,1.77E-01,-6.15E-06,5.95E-06,3.65E-07,-3.37E-07,5.49E-06,-5.33E-06,-5.72E-01,1.50E+00,-9.32E-01,1.96E+00,8.77E-06,-7.69E-01,-8.74E-06,
667,-2.01E-05,2.35E-05,1.56E-06,-1.81E-06,1.86E-05,-2.17E-05,3.45E-01,1.00E+00,1.67E-01,-6.23E-06,7.27E-06,4.66E-07,-5.41E-07,5.47E-06,-6.39E-06,-5.32E-01,1.50E+00,-9.65E-01,1.93E+00,9.72E-06,-8.62E-01,-9.71E-06,
668,-1.67E-05,2.27E-05,1.47E-06,-2.15E-06,1.52E-05,-2.05E-05,3.56E-01,1.00E+00,1.58E-01,-5.17E-06,7.02E-06,4.38E-07,-6.42E-07,4.49E-06,-6.05E-06,-4.99E-01,1.49E+00,-9.92E-01,1.91E+00,8.78E-06,-9.36E-01,-8.74E-06,
