i,X1,Y1,X2,Y2,X3,Y3,DC D1 con scaled (V),DC D2 con scaled,DC D3 con scaled,Norm D1X,Norm D1Y,Norm D2X,Norm D2Y,Norm D3X,Norm D3Y,Norm DC1 (V),Norm DC2 (V),Norm DC3 (V),Normalised phase (rad),Ernest new,Ernest new phase (rad),Proj Ernest new, 
15,1.77E-07,9.26E-07,1.15E-06,3.66E-06,-1.32E-06,-4.58E-06,5.32E-04,8.02E-01,6.89E-01,5.47E-08,2.87E-07,3.42E-07,1.09E-06,-3.90E-07,-1.35E-06,-1.52E+00,9.12E-01,6.05E-01,3.03E+00,1.58E-06,-1.85E+00,-1.03E-06,
16,4.89E-07,4.67E-07,2.41E-06,1.43E-06,-2.90E-06,-1.90E-06,-1.14E-04,7.98E-01,6.92E-01,1.51E-07,1.45E-07,7.19E-07,4.28E-07,-8.54E-07,-5.60E-07,-1.52E+00,9.02E-01,6.16E-01,3.03E+00,1.15E-06,-2.56E+00,-2.40E-09,
17,-7.80E-08,3.26E-08,-6.75E-08,-3.84E-07,1.46E-07,3.52E-07,-5.49E-04,7.96E-01,6.95E-01,-2.42E-08,1.01E-08,-2.02E-08,-1.15E-07,4.29E-08,1.04E-07,-1.52E+00,8.95E-01,6.24E-01,3.04E+00,1.26E-07,1.17E+00,7.07E-08,
18,-4.94E-07,4.22E-07,-2.29E-06,1.31E-06,2.78E-06,-1.73E-06,-8.52E-04,7.94E-01,6.97E-01,-1.53E-07,1.31E-07,-6.84E-07,3.91E-07,8.21E-07,-5.10E-07,-1.52E+00,8.90E-01,6.30E-01,3.04E+00,1.09E-06,-5.56E-01,-9.89E-07,
19,-6.84E-08,8.59E-07,-2.58E-07,3.34E-06,3.26E-07,-4.20E-06,-1.08E-03,7.93E-01,6.99E-01,-2.12E-08,2.66E-07,-7.70E-08,9.98E-07,9.61E-08,-1.24E-06,-1.52E+00,8.86E-01,6.34E-01,3.05E+00,1.40E-06,-1.49E+00,-1.23E-06,
20,3.37E-07,4.70E-07,2.11E-06,1.93E-06,-2.44E-06,-2.40E-06,-1.26E-03,7.92E-01,7.00E-01,1.04E-07,1.45E-07,6.29E-07,5.77E-07,-7.20E-07,-7.08E-07,-1.52E+00,8.83E-01,6.38E-01,3.05E+00,1.14E-06,-2.36E+00,-2.25E-07,
21,-1.62E-07,8.44E-08,-1.75E-07,-2.90E-07,3.37E-07,2.06E-07,-1.34E-03,7.92E-01,7.00E-01,-5.01E-08,2.61E-08,-5.24E-08,-8.67E-08,9.94E-08,6.06E-08,-1.52E+00,8.81E-01,6.39E-01,3.05E+00,1.32E-07,5.41E-01,-5.10E-09,
22,-3.85E-07,4.58E-07,-1.29E-06,1.66E-06,1.68E-06,-2.12E-06,-1.24E-03,7.92E-01,7.00E-01,-1.19E-07,1.42E-07,-3.86E-07,4.96E-07,4.94E-07,-6.24E-07,-1.52E+00,8.83E-01,6.37E-01,3.05E+00,9.01E-07,-9.01E-01,-8.97E-07,
23,-4.43E-08,5.79E-07,4.86E-07,2.58E-06,-4.41E-07,-3.16E-06,-9.42E-04,7.94E-01,6.98E-01,-1.37E-08,1.79E-07,1.45E-07,7.71E-07,-1.30E-07,-9.31E-07,-1.52E+00,8.88E-01,6.32E-01,3.04E+00,1.06E-06,-1.71E+00,-8.00E-07,
24,1.37E-07,3.04E-07,1.51E-06,1.05E-06,-1.65E-06,-1.36E-06,-3.69E-04,7.97E-01,6.94E-01,4.24E-08,9.42E-08,4.53E-07,3.14E-07,-4.87E-07,-3.99E-07,-1.52E+00,8.98E-01,6.21E-01,3.04E+00,7.08E-07,-2.45E+00,-7.72E-08,
25,-1.80E-07,-1.10E-07,-3.23E-07,-8.76E-07,5.03E-07,9.87E-07,5.97E-04,8.02E-01,6.88E-01,-5.57E-08,-3.42E-08,-9.66E-08,-2.62E-07,1.48E-07,2.91E-07,-1.52E+00,9.13E-01,6.04E-01,3.02E+00,3.65E-07,1.10E+00,1.81E-07,
26,-4.98E-07,1.02E-07,-1.97E-06,4.77E-07,2.47E-06,-5.78E-07,2.17E-03,8.10E-01,6.80E-01,-1.54E-07,3.15E-08,-5.89E-07,1.42E-07,7.28E-07,-1.71E-07,-1.51E+00,9.35E-01,5.78E-01,3.01E+00,8.32E-07,-2.30E-01,-6.02E-07,
27,-3.66E-07,5.49E-07,-9.11E-07,2.59E-06,1.28E-06,-3.14E-06,4.53E-03,8.19E-01,6.68E-01,-1.14E-07,1.70E-07,-2.72E-07,7.74E-07,3.76E-07,-9.26E-07,-1.51E+00,9.64E-01,5.44E-01,2.98E+00,1.10E-06,-1.18E+00,-1.08E-06,
28,2.68E-07,6.10E-07,2.01E-06,2.38E-06,-2.28E-06,-2.99E-06,7.79E-03,8.31E-01,6.54E-01,8.30E-08,1.89E-07,6.01E-07,7.11E-07,-6.71E-07,-8.81E-07,-1.50E+00,9.98E-01,5.02E-01,2.95E+00,1.21E-06,-2.22E+00,-4.04E-07,
29,3.63E-08,-8.39E-08,9.31E-07,-3.22E-07,-9.67E-07,4.06E-07,1.20E-02,8.44E-01,6.37E-01,1.12E-08,-2.60E-08,2.78E-07,-9.61E-08,-2.85E-07,1.20E-07,-1.49E+00,1.04E+00,4.53E-01,2.92E+00,3.33E-07,2.74E+00,2.76E-07,
30,-7.36E-07,1.40E-07,-2.04E-06,2.94E-07,2.78E-06,-4.34E-07,1.72E-02,8.57E-01,6.19E-01,-2.28E-07,4.33E-08,-6.09E-07,8.79E-08,8.18E-07,-1.28E-07,-1.48E+00,1.08E+00,4.00E-01,2.88E+00,8.87E-07,-1.55E-01,-5.94E-07,
31,-3.56E-07,1.01E-06,-6.42E-07,3.20E-06,9.97E-07,-4.21E-06,2.34E-02,8.71E-01,6.00E-01,-1.10E-07,3.13E-07,-1.92E-07,9.57E-07,2.94E-07,-1.24E-06,-1.46E+00,1.12E+00,3.43E-01,2.85E+00,1.35E-06,-1.34E+00,-1.27E-06,
32,3.54E-07,7.17E-07,1.44E-06,2.11E-06,-1.80E-06,-2.83E-06,3.04E-02,8.84E-01,5.81E-01,1.10E-07,2.22E-07,4.32E-07,6.30E-07,-5.30E-07,-8.33E-07,-1.44E+00,1.15E+00,2.86E-01,2.81E+00,1.04E-06,-2.14E+00,-4.29E-07,
33,8.09E-08,2.16E-07,4.88E-07,5.43E-08,-5.69E-07,-2.70E-07,3.79E-02,8.97E-01,5.62E-01,2.51E-08,6.68E-08,1.46E-07,1.62E-08,-1.68E-07,-7.96E-08,-1.42E+00,1.19E+00,2.29E-01,2.77E+00,1.94E-07,-2.69E+00,2.55E-08,
34,-5.44E-07,-2.82E-08,-1.51E-06,-1.19E-07,2.05E-06,1.47E-07,4.56E-02,9.08E-01,5.44E-01,-1.69E-07,-8.73E-09,-4.50E-07,-3.54E-08,6.05E-07,4.33E-08,-1.40E+00,1.22E+00,1.74E-01,2.73E+00,6.32E-07,7.13E-02,-3.07E-07,
35,-1.15E-06,7.63E-07,-2.05E-06,2.14E-06,3.20E-06,-2.91E-06,5.29E-02,9.17E-01,5.28E-01,-3.56E-07,2.36E-07,-6.13E-07,6.40E-07,9.44E-07,-8.57E-07,-1.38E+00,1.25E+00,1.26E-01,2.70E+00,1.33E-06,-7.36E-01,-1.28E-06,
36,-3.42E-07,1.49E-06,2.31E-08,2.80E-06,3.19E-07,-4.29E-06,5.91E-02,9.25E-01,5.15E-01,-1.06E-07,4.62E-07,6.89E-09,8.36E-07,9.40E-08,-1.26E-06,-1.36E+00,1.27E+00,8.80E-02,2.68E+00,1.32E-06,-1.50E+00,-1.15E-06,
37,4.74E-07,7.42E-07,8.95E-07,9.07E-07,-1.37E-06,-1.65E-06,6.35E-02,9.29E-01,5.06E-01,1.47E-07,2.30E-07,2.67E-07,2.71E-07,-4.04E-07,-4.86E-07,-1.35E+00,1.29E+00,6.17E-02,2.66E+00,6.58E-07,-2.26E+00,-1.94E-07,
38,-8.99E-07,7.71E-08,-1.69E-06,-1.69E-07,2.59E-06,9.19E-08,6.57E-02,9.32E-01,5.01E-01,-2.78E-07,2.39E-08,-5.04E-07,-5.05E-08,7.62E-07,2.71E-08,-1.34E+00,1.29E+00,4.85E-02,2.65E+00,7.92E-07,3.47E-02,-4.10E-07,
