Heating,Detector 1,Detector 2,Detector 3
1.59145,0.173339,0.0697268,0.075521
1.5967,0.170526,0.0772269,0.0727088
1.60195,0.167401,0.0856646,0.0698966
1.6072,0.164276,0.0928522,0.0673969
1.61244,0.160838,0.100977,0.0648971
1.61769,0.157087,0.110665,0.0617725
1.62294,0.153024,0.119415,0.0592727
1.62819,0.148648,0.129103,0.0561481
1.63343,0.144273,0.138166,0.0536483
1.63868,0.14021,0.147228,0.0511486
1.64393,0.135522,0.156916,0.0483364
1.64918,0.130208,0.167541,0.0458366
1.65442,0.12552,0.177541,0.0433369
1.65967,0.119894,0.187542,0.0408372
1.66492,0.115206,0.196917,0.038025
1.67016,0.10958,0.206604,0.0355252
1.67541,0.104892,0.21598,0.033338
1.68066,0.099579,0.225042,0.0314632
1.68591,0.0945783,0.233792,0.0292759
1.69115,0.0895776,0.24223,0.0277135
1.6964,0.0842643,0.25098,0.0261512
1.70165,0.0789511,0.258793,0.0245889
1.7069,0.0745754,0.266293,0.0230265
1.71214,0.0692622,0.274106,0.0214642
1.71739,0.064574,0.280981,0.0211517
1.72264,0.0608235,0.287856,0.0199019
1.72789,0.0561353,0.294106,0.0189645
1.73313,0.0523848,0.299106,0.0180271
1.73838,0.0476966,0.304419,0.0180271
1.74363,0.0436336,0.309419,0.0177146
1.74888,0.039883,0.313794,0.0177146
1.75412,0.0367576,0.316919,0.0174021
1.75937,0.0342572,0.320044,0.0174021
1.76462,0.0314443,0.321919,0.018652
1.76987,0.0292565,0.323482,0.018652
1.77511,0.0267562,0.325357,0.0195894
1.78036,0.0251935,0.325357,0.0202143
1.78561,0.0233182,0.325357,0.0211517
1.79085,0.022068,0.324107,0.0224016
1.7961,0.0217555,0.323482,0.0236515
1.80135,0.0205053,0.321607,0.0255263
1.8066,0.0198802,0.318169,0.0274011
1.81184,0.0201928,0.315356,0.0289634
1.81709,0.0208178,0.310981,0.0305258
1.82234,0.0214429,0.306606,0.0330255
1.82759,0.0223806,0.301919,0.0352128
1.83283,0.0242558,0.296606,0.0370876
1.83808,0.0251935,0.290669,0.0395873
1.84333,0.0270687,0.284418,0.0417746
1.84858,0.0298816,0.277543,0.0442743
1.85382,0.032382,0.270668,0.046774
1.85907,0.0351949,0.26348,0.0492738
1.86432,0.0383203,0.255668,0.052086
1.86957,0.0411332,0.24723,0.0548982
1.87481,0.0451963,0.238167,0.0577104
1.88006,0.0489468,0.229417,0.0598977
1.88531,0.0526974,0.220667,0.0633348
1.89055,0.057073,0.211292,0.0658345
1.8958,0.0614486,0.200979,0.0683343
1.90105,0.0658242,0.191917,0.0711465
1.9063,0.07145,0.182541,0.0736462
1.91154,0.0758256,0.172229,0.0764584
1.91679,0.0805138,0.162854,0.0780207
1.92204,0.0852019,0.153166,0.080833
1.92729,0.0908277,0.143791,0.0830202
1.93253,0.0958284,0.134416,0.084895
1.93778,0.101142,0.12504,0.0870823
1.94303,0.10583,0.11629,0.0892696
1.94828,0.110831,0.108165,0.0920818
1.95352,0.115831,0.0997273,0.0927067
1.95877,0.120832,0.0912897,0.0939566
1.96402,0.125833,0.083477,0.0961438
1.96927,0.130833,0.0759769,0.0970812
1.97451,0.135209,0.0691018,0.0986436
1.97976,0.139897,0.0612891,0.098956
1.98501,0.144273,0.055664,0.100206
1.99025,0.148648,0.0497264,0.101143
1.9955,0.152711,0.0444138,0.101456
2.00075,0.156462,0.0400387,0.101768
2.006,0.159587,0.0356636,0.101768
2.01124,0.163651,0.0325386,0.102393
2.01649,0.167089,0.0294135,0.102081
2.02174,0.170214,0.0262884,0.101456
2.02699,0.172402,0.0244134,0.101143
2.03223,0.17459,0.0237884,0.100518
2.03748,0.17709,0.0228509,0.100206
2.04273,0.17834,0.0222259,0.0986436
2.04798,0.179278,0.0231634,0.0977062
2.05322,0.18084,0.0241009,0.0964563
2.05847,0.182091,0.0259759,0.0952064
2.06372,0.182091,0.028476,0.0936441
2.06897,0.182403,0.0306635,0.0914568
2.07421,0.182091,0.0337886,0.090207
2.07946,0.181778,0.0384762,0.0886446
2.08471,0.180528,0.0425388,0.0858324
2.08996,0.179903,0.0472263,0.0836452
2.0952,0.17834,0.053164,0.0817704
2.10045,0.176465,0.0591016,0.0792706
2.1057,0.174902,0.0650392,0.0770833
2.11094,0.172402,0.0725393,0.0748961
2.11619,0.169276,0.079727,0.0720839
2.12144,0.166776,0.0872271,0.0692717
2.12669,0.163338,0.0944147,0.0667719
2.13193,0.159587,0.104102,0.0639597
2.13718,0.155837,0.11129,0.06146
2.14243,0.152711,0.120665,0.0589603
2.14768,0.147711,0.13004,0.0561481
2.15292,0.143648,0.139416,0.0533358
2.15817,0.139272,0.148478,0.0505236
2.16342,0.134584,0.158166,0.0483364
2.16867,0.129896,0.167541,0.0458366
2.17391,0.12552,0.177229,0.0430244
2.17916,0.120207,0.186917,0.0405247
2.18441,0.115206,0.195979,0.0383374
2.18966,0.10958,0.205354,0.0361502
2.1949,0.105517,0.21473,0.0339629
2.20015,0.0998915,0.223792,0.0317756
2.2054,0.0948908,0.233167,0.0295883
2.21064,0.0895776,0.241605,0.0283385
2.21589,0.0848894,0.250355,0.0264637
2.22114,0.0802012,0.258168,0.0245889
2.22639,0.0752005,0.265356,0.0230265
2.23163,0.0698873,0.272543,0.0220891
2.23688,0.0655117,0.280043,0.0211517
2.24213,0.061136,0.286918,0.0195894
2.24738,0.0567604,0.292231,0.0189645
2.25262,0.0530099,0.298169,0.0183395
2.25787,0.0489468,0.302856,0.0180271
2.26312,0.0451963,0.306919,0.0174021
2.26837,0.0414458,0.311606,0.0170897
2.27361,0.0383203,0.315981,0.0174021
2.27886,0.0351949,0.318482,0.0174021
2.28411,0.032382,0.321607,0.0177146
2.28936,0.0298816,0.322857,0.018652
2.2946,0.0273813,0.324107,0.0192769
2.29985,0.0258186,0.324732,0.0199019
2.3051,0.0239433,0.325357,0.0211517
2.31034,0.0223806,0.324732,0.0220891
2.31559,0.0211304,0.323482,0.0230265
2.32084,0.0211304,0.321607,0.0245889
2.32609,0.0198802,0.320044,0.0258387
2.33133,0.0201928,0.316607,0.0277135
2.33658,0.0205053,0.313794,0.0295883
2.34183,0.0205053,0.310044,0.0317756
2.34708,0.022068,0.305669,0.0336504
2.35232,0.0226931,0.300044,0.0361502
2.35757,0.0245684,0.295044,0.0383374
2.36282,0.0261311,0.288481,0.0402122
2.36807,0.0276938,0.281918,0.042712
2.37331,0.0305067,0.274731,0.0452117
2.37856,0.0326945,0.267856,0.0477114
2.38381,0.0361325,0.260043,0.0505236
2.38906,0.039258,0.25223,0.0527109
2.3943,0.0420709,0.24473,0.0552107
2.39955,0.0455088,0.23598,0.0580229
2.4048,0.0492594,0.227542,0.0608351
2.41004,0.0533224,0.218792,0.0636473
2.41529,0.0576981,0.209104,0.0664595
2.42054,0.0623862,0.198792,0.0689592
2.42579,0.0667618,0.190354,0.0720839
2.43103,0.0720751,0.180041,0.0742711
2.43628,0.0770758,0.170354,0.0767709
2.44153,0.0811389,0.160979,0.0789581
2.44678,0.0864521,0.151291,0.0814579
2.45202,0.0917654,0.141916,0.0836452
2.45727,0.0964535,0.133165,0.0861449
2.46252,0.101454,0.12379,0.0873948
2.46777,0.106767,0.114728,0.089582
2.47301,0.111456,0.106915,0.0914568
2.47826,0.117081,0.0984773,0.0930192
2.48351,0.12177,0.0897272,0.094894
2.48876,0.126145,0.082227,0.0958314
2.494,0.132084,0.0747269,0.0970812
2.49925,0.136147,0.0675392,0.0986436
2.5045,0.14021,0.0609766,0.0992685
2.50975,0.14521,0.0553515,0.100206
2.51499,0.149273,0.0494139,0.101143
2.52024,0.153024,0.0441013,0.101456
2.52549,0.156775,0.0394137,0.101768
2.53073,0.1599,0.0350386,0.102393
2.53598,0.163338,0.031601,0.101768
2.54123,0.166463,0.0287885,0.101768
2.54648,0.169589,0.0262884,0.101456
2.55172,0.172402,0.0247259,0.101143
2.55697,0.17459,0.0231634,0.100518
2.56222,0.17709,0.0225384,0.0998934
2.56747,0.17834,0.0225384,0.098956
2.57271,0.179903,0.0228509,0.0977062
2.57796,0.18084,0.0241009,0.0961438
2.58321,0.181153,0.0256634,0.094894
2.58846,0.182091,0.028476,0.0930192
2.5937,0.182091,0.030976,0.0914568
2.59895,0.181778,0.0344136,0.0898945
2.6042,0.181466,0.0384762,0.0880197
2.60945,0.180528,0.0428513,0.0858324
2.61469,0.178965,0.0475388,0.0836452
2.61994,0.17834,0.0534765,0.0814579
2.62519,0.176465,0.0594141,0.0792706
2.63043,0.174277,0.0659767,0.0764584
2.63568,0.172089,0.0734768,0.0739587
2.64093,0.168964,0.0806645,0.0717714
2.64618,0.166151,0.0878521,0.0689592
2.65142,0.162713,0.0959773,0.0667719
2.65667,0.159275,0.104102,0.0636473
2.66192,0.155524,0.112228,0.0611475
2.66717,0.152086,0.12129,0.0586478
2.67241,0.147711,0.13004,0.0555231
2.67766,0.14396,0.139416,0.0533358
2.68291,0.138647,0.148478,0.0505236
2.68816,0.134584,0.158166,0.047399
2.6934,0.130208,0.166604,0.0455242
2.69865,0.125208,0.176916,0.0433369
2.7039,0.120519,0.186291,0.0405247
2.70915,0.115206,0.195042,0.038025
2.71439,0.110518,0.205042,0.0361502
2.71964,0.105205,0.21348,0.0339629
2.72489,0.100829,0.222855,0.0320881
2.73013,0.0955159,0.231605,0.0302133
2.73538,0.0902026,0.240043,0.0283385
2.74063,0.0852019,0.247855,0.0261512
2.74588,0.0808263,0.25598,0.0249013
2.75112,0.0761382,0.263793,0.023339
2.75637,0.0708249,0.271293,0.0224016
2.76162,0.0661367,0.278168,0.0211517
2.76687,0.0620737,0.284731,0.0199019
2.77211,0.0573855,0.291606,0.0192769
2.77736,0.0533224,0.297231,0.0183395
2.78261,0.0492594,0.301919,0.0180271
2.78786,0.0461339,0.306919,0.0170897
2.7931,0.0423834,0.310669,0.0174021
2.79835,0.0389454,0.314106,0.0170897
2.8036,0.03582,0.316919,0.0177146
2.80885,0.0330071,0.320357,0.0180271
2.81409,0.0305067,0.322232,0.0177146
2.81934,0.0280064,0.323169,0.0192769
2.82459,0.0261311,0.324732,0.0192769
2.82984,0.0239433,0.324107,0.0202143
2.83508,0.0233182,0.325044,0.0214642
2.84033,0.0214429,0.323794,0.0224016
2.84558,0.0208178,0.321919,0.0245889
2.85082,0.0201928,0.319419,0.0261512
2.85607,0.0198802,0.317232,0.0270886
2.86132,0.0205053,0.314106,0.0289634
2.86657,0.0211304,0.310044,0.0314632
2.87181,0.0214429,0.305981,0.032713
2.87706,0.0223806,0.301294,0.0355252
2.88231,0.0239433,0.295669,0.0370876
2.88756,0.0251935,0.289418,0.0395873
2.8928,0.0276938,0.283168,0.042712
2.89805,0.0298816,0.276606,0.0442743
2.9033,0.0320694,0.270043,0.0470865
2.90855,0.0355074,0.261918,0.0492738
2.91379,0.0380078,0.254105,0.0523984
2.91904,0.0417583,0.24598,0.0555231
2.92429,0.0451963,0.236605,0.0573979
2.92954,0.0492594,0.227855,0.0605226
2.93478,0.0526974,0.218792,0.0627099
2.94003,0.057073,0.210354,0.0655221
2.94528,0.0608235,0.201604,0.0680218
2.95052,0.0651991,0.191917,0.0711465
2.95577,0.0698873,0.182854,0.0733337
2.96102,0.074888,0.173479,0.0758335
2.96627,0.0798887,0.163791,0.0780207
2.97151,0.0842643,0.154728,0.080208
2.97676,0.0895776,0.144728,0.0820828
2.98201,0.0945783,0.135978,0.084895
2.98726,0.099579,0.127228,0.0867698
2.9925,0.10458,0.118478,0.0892696
2.99775,0.109268,0.109103,0.0905194
3.003,0.114581,0.10129,0.0923942
3.00825,0.119894,0.0931647,0.0939566
3.01349,0.124583,0.0853521,0.0955189
3.01874,0.129271,0.0775394,0.0967688
3.02399,0.133959,0.0712893,0.0983311
3.02924,0.138647,0.0634767,0.098956
3.03448,0.143023,0.057539,0.099581
3.03973,0.147086,0.0516014,0.100518
3.04498,0.150836,0.0462888,0.101143
3.05022,0.155212,0.0419137,0.101456
3.05547,0.158962,0.0372262,0.101768
3.06072,0.1624,0.0331636,0.101456
3.06597,0.165213,0.029726,0.102081
3.07121,0.168026,0.027226,0.101768
3.07646,0.170839,0.0256634,0.101143
3.08171,0.173339,0.0237884,0.100518
3.08696,0.175527,0.0228509,0.0998934
3.0922,0.177402,0.0225384,0.0992685
3.09745,0.178653,0.0228509,0.0980186
3.1027,0.179903,0.0234759,0.0970812
3.10795,0.181153,0.0247259,0.0961438
3.11319,0.181778,0.0269135,0.094894
3.11844,0.182403,0.029726,0.0920818
3.12369,0.182091,0.0331636,0.0911444
3.12894,0.181778,0.0362886,0.0889571
3.13418,0.18084,0.0403512,0.0870823
3.13943,0.180215,0.0453513,0.084895
3.14468,0.178653,0.0503514,0.0827078
3.14993,0.177402,0.0559765,0.080208
3.15517,0.175527,0.0625391,0.0777083
3.16042,0.173027,0.0694143,0.0752085
3.16567,0.169901,0.0762894,0.0733337
3.17091,0.167401,0.0837895,0.0705215
3.17616,0.163963,0.0916022,0.0680218
3.18141,0.160838,0.10004,0.0658345
3.18666,0.1574,0.108478,0.0623974
3.1919,0.153024,0.11754,0.0598977
3.19715,0.149586,0.12629,0.0573979
3.2024,0.14521,0.135666,0.0542732
3.20765,0.140522,0.144728,0.0511486
3.21289,0.136147,0.153791,0.0492738
3.21814,0.131771,0.163166,0.0461491
3.22339,0.127083,0.173479,0.0439618
3.22864,0.122082,0.182229,0.0417746
