i;DC1;DC2;DC3;X1;Y1;X2;Y2;X3;Y3
121;0.04681305;0.6834873;0.9562965;-4.64834E-08;2.65457E-07;7.09958E-07;-2.90813E-07;6.54331E-07;0.000001192
122;0.04672692;0.6837497;0.9561106;-9.36419E-09;3.40628E-07;7.93232E-07;-1.64793E-07;7.50204E-07;1.63987E-06
123;0.04663295;0.6840286;0.9558994;-6.71226E-09;3.27769E-07;7.6694E-07;-3.06696E-07;6.91213E-07;1.3753E-06
124;0.04653848;0.6843176;0.9556963;2.79369E-08;3.74007E-07;1.02996E-06;1.54444E-08;1.14393E-06;1.97738E-06
125;0.04643675;0.6846286;0.9554752;1.59976E-08;3.52043E-07;1.00615E-06;-4.06229E-07;1.02218E-06;1.35183E-06
126;0.04632632;0.6849744;0.9552403;-2.77507E-08;3.18993E-07;8.81813E-07;-5.07792E-07;7.79297E-07;1.06742E-06
127;0.04620744;0.6853483;0.95499;-2.68865E-08;2.86239E-07;9.10452E-07;-8.67657E-07;7.28764E-07;4.63921E-07
128;0.0460705;0.6857799;0.9546974;-3.40612E-08;2.86679E-07;9.96934E-07;-9.14903E-07;8.02781E-07;3.78015E-07
129;0.04590927;0.6862954;0.9543542;-6.85895E-08;2.66851E-07;7.19024E-07;-9.46786E-07;3.64467E-07;2.45048E-07
130;0.04570991;0.6869321;0.9539283;-4.78641E-08;2.81428E-07;4.41909E-07;-1.58916E-06;2.33398E-07;-4.02494E-07
131;0.04545602;0.6877426;0.9533803;-9.04419E-08;2.83362E-07;1.54732E-07;-1.29511E-06;-2.72234E-07;2.54293E-08
132;0.04514072;0.688755;0.9526987;-1.19437E-07;2.22138E-07;3.55463E-07;-1.81116E-06;-4.76969E-08;-7.95471E-07
133;0.04475005;0.6900353;0.9518517;-1.23907E-07;2.53082E-07;1.97886E-07;-1.72876E-06;-1.0719E-07;-4.92741E-07
134;0.04426792;0.6916213;0.9507848;-1.39354E-07;1.96937E-07;1.14897E-07;-1.83244E-06;-3.67892E-07;-8.77271E-07
135;0.04369149;0.6935409;0.949491;-7.80766E-08;2.5462E-07;-2.42162E-07;-1.77611E-06;-4.28579E-07;-4.84517E-07
136;0.04302011;0.6958013;0.9479563;-1.29667E-07;2.32173E-07;-1.7167E-07;-1.62134E-06;-7.12508E-07;-3.87567E-07
137;0.04225379;0.6984152;0.9461719;-1.03272E-07;2.31277E-07;-3.505E-07;-1.83689E-06;-6.64724E-07;-5.0693E-07
138;0.04140485;0.7013482;0.9441579;-1.34398E-07;2.32572E-07;-2.73812E-08;-1.63754E-06;-5.06074E-07;-2.61841E-07
139;0.04048288;0.7045837;0.9419345;-1.12266E-07;2.23944E-07;-8.45489E-08;-1.56741E-06;-4.12604E-07;-1.62203E-07
140;0.03950131;0.7080938;0.939515;-1.04386E-07;2.23162E-07;-8.83622E-10;-1.41552E-06;-4.07418E-07;1.39136E-07
141;0.03847091;0.7118366;0.9369105;-6.09262E-08;1.93956E-07;-1.22231E-07;-1.4075E-06;-3.27529E-07;-7.54482E-08
142;0.03740785;0.7157815;0.9341517;-2.99525E-08;2.45521E-07;-2.8942E-07;-9.47429E-07;-5.60615E-07;6.31524E-07
143;0.03633443;0.7198438;0.931283;-1.81809E-08;2.19557E-07;-1.4202E-07;-7.73844E-07;-3.69146E-07;7.40221E-07
144;0.0352755;0.7239457;0.9283643;-3.04443E-08;2.19879E-07;-1.98891E-07;-8.4425E-07;-6.0057E-07;6.70044E-07
145;0.03424866;0.728023;0.925441;-4.60022E-08;1.71317E-07;1.29614E-07;-9.91897E-07;-2.77797E-07;3.33607E-07
146;0.0332613;0.73204;0.9225386;-1.45787E-08;1.7481E-07;-1.25879E-07;-9.73106E-07;-4.60318E-07;4.45239E-07
147;0.03231635;0.7359771;0.9196784;-1.18108E-08;1.90465E-07;-7.51255E-08;-9.10492E-07;-2.933E-07;6.06802E-07
148;0.0314149;0.7398307;0.9168509;-3.10482E-08;1.90804E-07;-2.34125E-07;-8.2249E-07;-6.10849E-07;6.66585E-07
149;0.03056131;0.7435759;0.9140764;-2.81863E-08;1.98664E-07;-2.09383E-07;-7.45296E-07;-5.3909E-07;8.26157E-07
150;0.02975799;0.7471918;0.9113713;-5.1152E-08;1.90971E-07;-2.12413E-07;-3.58571E-07;-6.08418E-07;1.02309E-06
151;0.0290026;0.7507005;0.9087425;-6.48429E-08;2.26687E-07;2.77516E-07;-4.37376E-07;-2.12684E-07;1.18579E-06
152;0.02829357;0.7540887;0.9061811;-9.01138E-08;1.76563E-07;7.89907E-08;-3.06496E-07;-3.67523E-07;1.17571E-06
153;0.02762975;0.7573521;0.9036847;-1.0313E-07;1.8249E-07;3.89434E-07;-6.53276E-07;-2.84422E-07;9.81075E-07
154;0.02700693;0.7605104;0.9012597;-7.03514E-08;1.73562E-07;2.18484E-07;-4.50714E-07;-2.09361E-07;1.20697E-06
155;0.02641956;0.7635737;0.8988916;-1.1846E-07;1.771E-07;1.369E-07;-3.39752E-07;-6.79981E-07;1.23512E-06
156;0.02586542;0.7665451;0.8965814;-9.63042E-08;1.71186E-07;4.36954E-08;-6.50374E-07;-5.33513E-07;9.49188E-07
