Setting,Detector 1,Detector 2,Detector 3
Amplitude [V],0.42186435439560455,0.46057720238095234,0.41601823717948705
Offset [V],1.0607533195970698,1.1476937133699634,1.05597527014652
Output Phases [deg],0.0,119.99999999999999,239.99999999999997
Response Phases [deg],141.04,129.99,135.02
