Time,Interferometric Phase,Sensitivity,PTI Signal
s,rad,1/rad,µrad
0,2.5358500588694555,0.5818230244076272,1.2808745693687278
1,2.501116092644106,0.5789342102988674,2.2080260118024793
2,2.4779055559362737,0.5766142752176255,3.1112615123080514
3,2.4609838604864613,0.5747270613872826,1.2143815061193002
4,2.4451896291708346,0.5728170941435928,1.6035241695429796
5,2.4377917467351926,0.5718733126804052,5.930794367674664
6,2.4415886078855555,0.572361608270478,-0.20838446888952536
7,2.4581676274014,0.5743969889278885,1.9719816754557973
8,2.4937767736045813,0.5782342929227623,2.103267909394325
9,2.5495751485513023,0.5827712345360907,2.8234598145492233
10,2.619353305452095,0.5858911415290418,3.312887172470902
11,2.691442163372837,0.58611956200053,4.2597268353881335
12,2.7516171668775673,0.5839783626880312,2.8366829084538345
13,2.791105217273081,0.5814236882873177,1.5533464066817433
14,2.814031038971511,0.579524268673462,3.924732381453189
15,2.8276820421708564,0.5782485284551826,1.7745682560130105
16,2.8405277141732688,0.5769496380831344,4.595802329222721
17,2.8580847965444653,0.5750204173294142,1.109721741495661
18,2.876590446245912,0.572795108664944,2.581543527577027
19,2.8897791915213356,0.5710893983571727,3.9954000329187656
20,2.895027294539692,0.570383011651626,3.2235489708917577
21,2.8866014198061047,0.5715094772489077,4.134176486230536
22,2.862734201770942,0.5744798183589445,1.5816696661286505
23,2.8270029539286554,0.5783145408611566,2.148986943431786
24,2.78924623116717,0.5815643249585524,3.7243056303991344
25,2.7617882374662663,0.5834072671723326,-0.9023473153956925
26,2.73847760682013,0.5846266951590219,4.760200060656398
27,2.713977003572446,0.5855659618291789,0.9404670044677351
28,2.6940949242300776,0.5860698451433178,-0.03001277416611963
29,2.68147093705179,0.5862695463726211,1.4511876603957619
30,2.674986784346748,0.5863358028762943,2.7634919737494066
31,2.675486533465974,0.5863315730745634,3.4801941152078255
32,2.6862469790448418,0.586204979037562,3.7199945267926737
33,2.700312957164676,0.5859371467504705,3.960848291368053
34,2.707065905750828,0.5857673712376706,4.5338340002864745
35,2.7007980300609193,0.5859258422053909,3.151217453683917
36,2.6866698491567167,0.5861986178563504,3.227233653426522
37,2.670819885205944,0.5863653700128104,3.1279129145682534
38,2.6550065731227392,0.5863849427099154,0.7851671504203669
39,2.637113328932878,0.5862302646181144,3.9831469789526732
40,2.6165549787897033,0.5858208522385793,3.166394510472289
41,2.593149483063045,0.5850533613588539,2.6379189102528735
42,2.568396157091957,0.5838929827812663,3.3375802235421355
43,2.545427211694602,0.5824962380608204,1.3011581478818188
44,2.52633445801442,0.5811012852168949,3.2018108757747323
45,2.5102578024084847,0.5797623969935379,2.380506105554499
46,2.4945800990988936,0.578312421115858,1.0592874550582358
47,2.4808950295641043,0.5769305340270171,3.9262093309197095
48,2.472992461945589,0.5760833225846421,1.1066586450476263
49,2.473767392534037,0.5761679924957377,0.9800833695702696
50,2.48583765905914,0.5774421080285934,2.7701347902994473
51,2.5045620243202436,0.5792520772544085,3.283024155172666
52,2.5239545689677874,0.5809125473488058,4.372768300793712
53,2.5424371720734746,0.5822917905647745,0.853399111193815
54,2.5600286940310077,0.5834197885837158,3.9338400739147095
55,2.577060506839176,0.5843398838668973,3.052490337795087
56,2.591842555945706,0.5850010537017255,4.933054116709163
57,2.6056050306467218,0.5855017179137479,1.7609056790009658
58,2.621274249435277,0.5859367367813006,4.538520937211643
59,2.6367103547612167,0.5862246197574864,1.2191782271169025
60,2.6499817998677426,0.5863604627085016,3.0338881183365065
61,2.6629652249149234,0.5863934203714205,6.561914160496351
62,2.6689767292593807,0.5863752008322516,1.9065527595899854
63,2.665136571702483,0.5863892842406447,4.300707708328422
64,2.6619203965887377,0.5863944253895862,0.6063177631684025
65,2.6474910790368122,0.5863428401789926,1.2588411740792136
66,2.6104271091197435,0.5856509094348025,4.946530779879473
67,2.560391675060469,0.5834411635753337,1.6193058997922827
68,2.5196527355555696,0.5805630410339555,2.4372846807977937
69,2.4887049016432856,0.5777324100380316,3.310671246655965
70,2.4520147013690483,0.5736599984347553,1.5250831841138304
71,2.407870168257114,0.5677373508020416,1.5098701835324684
72,2.3654345961282366,0.5610010401299642,1.6820723940776952
73,2.330494956036806,0.554695847538148,2.0571192553818
74,2.3049278280499617,0.5496525371452223,4.199461863945026
75,2.2899037170941674,0.5465211029645207,2.284999066276599
76,2.2825976837309145,0.5449537014910509,4.4014166062704
77,2.2812700962201773,0.5446657616526188,2.820423492683076
78,2.2789794707517395,0.5441666921617347,1.8000943869424728
79,2.2693714354757977,0.5420422690546075,3.537234439271576
80,2.258680545349744,0.5396196109945934,-0.6093401592333579
81,2.257834434588361,0.5394252367724637,3.6091295272967416
82,2.272913651661281,0.5428313186940175,-0.5026410221970802
83,2.3024613197727937,0.5491469432746257,4.251921661841915
84,2.3393921934625577,0.5563660155597818,0.7878438272283236
85,2.375916955869643,0.5627594696669708,2.5924232458203758
86,2.408533247354075,0.5678345273976403,3.2300742227966173
87,2.434192924600283,0.5714028753881379,2.166328334025952
88,2.4490232244548986,0.5732938346814886,3.745495081640541
89,2.4543595856608182,0.5739434287620162,3.218519140722553
90,2.4592786182118167,0.5745277452186419,0.49158023002618895
91,2.469635344507178,0.5757125246317053,4.059580159147241
92,2.483902597717494,0.5772435041617365,3.726391962348172
93,2.4955497696293736,0.5784062302270266,3.263347861724683
94,2.5002809250162774,0.5788561358758135,0.9530815173484891
95,2.498143289348002,0.5786544630156492,4.522062419037592
96,2.4910479393557203,0.5779661111206731,2.5621631562249307
97,2.478395263716372,0.5766664348038502,3.9140000717077843
