Setting,Detector 1,Detector 2,Detector 3
Amplitude [V],1.4887564333151475,1.5111981824490974,1.3934563079251343
Offset [V],1.6364041974605368,1.6623385047636885,1.5090263589000763
Output Phases [deg],0.0,123.25179218192962,242.4868706928669
Response Phases [rad],2.46,2.67,2.36
