Interferometric Phase;PTI;R1;R2;R3;System_Phase_1;System_Phase_2;System_Phase_3
-2.72139;-1.43694e-06;3.20811e-07;5.33797e-07;8.06136e-07;1.9151;-1.28851;1.86232
-2.71692;-1.31392e-06;2.95611e-07;6.59914e-07;6.24481e-07;1.91309;-0.977306;1.52485
-2.71246;-1.23144e-06;2.9282e-07;6.94508e-07;7.19877e-07;1.71509;-0.849006;1.18499
-2.70829;-1.34486e-06;3.24202e-07;6.23035e-07;7.7738e-07;1.73058;-0.85966;1.41078
-2.70455;-1.19112e-06;3.14249e-07;1.21481e-06;9.68247e-07;1.65875;-0.762366;0.429826
-2.70126;-1.10102e-06;3.01022e-07;1.5724e-06;1.30602e-06;1.64823;-0.680926;0.143202
-2.69846;-1.19256e-06;3.20451e-07;1.61515e-06;1.0183e-06;1.75543;-0.843482;-0.0208121
-2.69622;-9.75655e-07;3.03643e-07;1.74019e-06;1.34107e-06;1.75123;-0.724308;-0.144915
-2.69452;-1.05848e-06;3.20096e-07;1.89132e-06;1.50126e-06;1.81706;-0.632152;-0.0808844
-2.69336;-1.03671e-06;3.27144e-07;1.73249e-06;1.65523e-06;1.67777;-0.561173;0.118837
-2.69271;-1.10772e-06;3.16237e-07;1.65791e-06;1.40473e-06;1.86554;-0.579392;0.125756
-2.69252;-1.0795e-06;3.268e-07;1.57793e-06;1.48626e-06;1.64111;-0.670955;0.167564
-2.69276;-1.23253e-06;3.46388e-07;1.48339e-06;1.04252e-06;1.80445;-0.813693;0.16115
-2.69324;-1.25539e-06;3.40787e-07;1.42172e-06;6.86588e-07;1.70543;-1.08412;0.096869
-2.69379;-1.39557e-06;3.40686e-07;1.09988e-06;4.88928e-07;1.84426;-1.06748;0.851758
-2.6944;-1.58406e-06;3.99575e-07;1.00819e-06;5.25036e-07;1.88661;-1.2614;1.47901
-2.6951;-1.594e-06;3.8637e-07;6.37544e-07;8.32568e-07;1.90978;-1.30093;1.83377
-2.69592;-1.74424e-06;4.0394e-07;4.79093e-07;1.15086e-06;1.90386;-1.44809;1.91244
-2.69691;-1.70916e-06;3.9858e-07;7.02909e-07;1.12088e-06;1.84199;-1.92791;2.17058
-2.69807;-1.68028e-06;3.87997e-07;8.64021e-07;7.82565e-07;1.78794;-1.48639;1.89642
-2.69939;-1.55437e-06;3.92203e-07;1.07317e-06;7.07114e-07;1.64221;-1.13676;1.06696
-2.70094;-1.66491e-06;4.19473e-07;9.02874e-07;9.48271e-07;1.73455;-0.995267;1.2162
-2.70271;-1.61202e-06;3.75422e-07;8.78346e-07;9.09985e-07;1.90981;-0.742479;1.24462
-2.70477;-1.63675e-06;3.88063e-07;9.62212e-07;1.07887e-06;1.96088;-0.568213;1.10281
-2.70721;-1.4844e-06;3.72267e-07;1.0648e-06;7.27795e-07;1.74502;-1.05779;0.928156
-2.71013;-1.3915e-06;3.38251e-07;1.18554e-06;1.83101e-07;1.7711;-1.30298;1.26359
-2.7135;-1.48612e-06;3.47562e-07;1.4431e-06;1.77427e-07;1.92871;-1.21462;0.0664628
-2.71728;-1.33869e-06;3.28238e-07;1.48896e-06;6.66562e-07;1.80534;-1.05086;0.105976
-2.72141;-1.29471e-06;3.05748e-07;1.57006e-06;1.23846e-06;1.84268;-0.642895;0.292663
-2.72588;-1.5969e-06;3.77491e-07;1.17831e-06;1.43936e-06;1.76923;-0.49554;0.835143
-2.73068;-1.57901e-06;3.45583e-07;1.09903e-06;1.50842e-06;1.78051;-0.443582;0.89599
-2.73573;-1.69798e-06;3.36822e-07;1.05044e-06;1.33372e-06;1.91117;-0.459457;1.06711
-2.74098;-1.64296e-06;3.43637e-07;1.33853e-06;1.32126e-06;1.79379;-0.605833;0.761026
-2.74639;-1.30038e-06;2.97287e-07;1.28248e-06;1.03974e-06;1.72979;-0.834771;0.481488
-2.75192;-1.31317e-06;2.93851e-07;1.46721e-06;1.06253e-06;1.85414;-0.753546;0.326635
-2.75748;-1.3562e-06;2.80647e-07;1.32621e-06;1.15559e-06;1.86206;-0.680637;0.539642
-2.76299;-1.13766e-06;2.42576e-07;1.41799e-06;9.65512e-07;1.78226;-0.846375;0.178648
-2.76841;-1.26142e-06;2.71695e-07;1.13767e-06;7.48614e-07;1.67768;-1.07321;0.614697
-2.77368;-1.33532e-06;2.85206e-07;1.35918e-06;3.78726e-07;1.79595;-1.25615;0.343219
-2.7788;-1.23596e-06;2.52089e-07;1.73654e-06;5.62397e-07;2.11264;-1.2993;-1.35197
-2.78376;-1.25708e-06;2.6708e-07;1.41817e-06;5.12097e-07;2.17566;-1.4967;-2.36219
-2.78853;-1.0971e-06;2.31103e-07;1.42806e-06;4.2676e-07;1.98802;-1.55706;-2.08445
-2.79311;-1.3642e-06;2.67413e-07;1.16148e-06;7.26166e-07;1.97836;-1.83877;2.96281
-2.79746;-1.6065e-06;2.93745e-07;9.76527e-07;7.07869e-07;2.15421;-1.46773;2.67591
-2.80152;-1.51171e-06;2.8592e-07;8.44953e-07;6.81539e-07;1.98451;-1.54024;2.33116
-2.80528;-1.4485e-06;2.99074e-07;1.16257e-06;2.74019e-07;1.86983;-1.4375;2.1034
-2.8087;-1.69007e-06;3.32653e-07;5.69807e-07;1.01521e-06;1.8972;-1.04492;1.81808
-2.81175;-1.73879e-06;3.58528e-07;7.27923e-07;8.57632e-07;1.89291;-1.23216;2.05641
-2.81443;-1.75255e-06;3.81268e-07;5.64765e-07;1.0781e-06;1.79039;-1.45723;2.00293
-2.81668;-1.57251e-06;3.39362e-07;7.18953e-07;1.03332e-06;1.87226;-1.91278;2.47488
-2.8185;-1.48083e-06;3.15891e-07;1.23387e-06;8.0789e-07;1.95994;-1.76698;3.11561
-2.81992;-1.53919e-06;3.27493e-07;1.32421e-06;6.65731e-07;1.93042;-1.67236;3.13903
-2.82097;-1.5926e-06;3.29742e-07;9.76823e-07;8.39912e-07;1.98114;-1.76741;2.63417
-2.8217;-1.60146e-06;3.52554e-07;1.18872e-06;1.37678e-06;1.91934;-2.33452;2.6847
-2.82218;-1.74296e-06;3.6209e-07;1.31116e-06;1.57293e-06;2.0685;-2.3027;2.7984
-2.82246;-1.67536e-06;3.41962e-07;1.05388e-06;1.79895e-06;2.17618;-2.57547;2.69654
-2.82262;-1.52692e-06;3.14666e-07;1.33284e-06;1.48512e-06;2.03127;-2.41056;2.77299
-2.82277;-1.47515e-06;2.97548e-07;1.41093e-06;1.32025e-06;2.22899;-2.19238;3.01754
-2.82294;-1.42334e-06;2.79001e-07;9.66528e-07;1.21303e-06;2.4125;-2.20589;2.78288
-2.82316;-1.46613e-06;2.83481e-07;8.28992e-07;8.92858e-07;2.00767;-1.97336;2.10954
-2.82343;-1.7136e-06;3.31596e-07;3.53432e-07;1.49364e-06;1.90816;-2.08979;1.80649
-2.82376;-1.58088e-06;3.10552e-07;5.79186e-07;1.388e-06;1.95396;-2.44446;2.04571
-2.82414;-1.48324e-06;3.16848e-07;6.58395e-07;1.016e-06;1.77119;-1.82836;1.69597
-2.82456;-1.52503e-06;2.84899e-07;5.53336e-07;1.37174e-06;1.83069;-0.418497;1.31748
-2.82497;-1.40036e-06;2.69496e-07;7.67211e-07;1.35978e-06;1.74415;-0.388772;1.06877
-2.82544;-1.68226e-06;3.40757e-07;8.10169e-07;1.80332e-06;1.59828;-0.204835;1.14174
-2.82595;-1.59074e-06;3.27838e-07;8.2599e-07;1.53923e-06;1.59127;-0.380416;1.10508
-2.82647;-1.73845e-06;3.75049e-07;1.03008e-06;2.28443e-06;1.49624;0.014994;1.04633
-2.82702;-1.61344e-06;3.52406e-07;1.08506e-06;1.69479e-06;1.52539;-0.383731;0.923374
-2.82763;-1.52704e-06;3.20198e-07;1.01757e-06;1.32162e-06;1.65757;-0.522473;0.940169
-2.82828;-1.35001e-06;2.87499e-07;1.25768e-06;8.63898e-07;1.66445;-0.761335;0.566888
-2.82903;-1.33277e-06;2.88695e-07;1.35312e-06;8.87329e-07;1.68905;-0.742518;0.440083
-2.82992;-1.33244e-06;2.75525e-07;1.18886e-06;4.39186e-07;1.82238;-0.921283;0.591924
-2.83102;-1.23187e-06;2.85469e-07;1.64946e-06;4.6527e-07;1.73926;-1.29957;-1.0453
-2.83243;-1.46836e-06;2.97445e-07;1.30432e-06;2.73419e-07;1.87975;-1.45189;3.04845
-2.83418;-1.18744e-06;2.52211e-07;1.84571e-06;7.969e-07;2.06412;-1.377;-1.63069
-2.83637;-1.3286e-06;2.81786e-07;1.74005e-06;5.04265e-07;2.02608;-1.45683;-1.785
-2.8391;-1.16694e-06;2.41254e-07;1.83604e-06;9.51288e-07;2.18661;-1.50818;-1.96788
-2.8424;-1.27432e-06;2.66322e-07;1.79254e-06;6.46867e-07;1.86833;-1.7063;-2.29501
-2.84628;-1.42948e-06;2.65928e-07;1.6304e-06;8.11095e-07;2.08014;-1.67628;-2.64341
-2.85077;-1.36281e-06;2.53287e-07;1.87003e-06;8.35964e-07;1.99076;-1.75934;-2.49007
-2.85581;-1.51573e-06;2.68612e-07;1.63777e-06;5.698e-07;2.09479;-1.58752;-2.66412
-2.86135;-1.44361e-06;2.50509e-07;1.56969e-06;4.43342e-07;2.03549;-1.62469;-2.76703
-2.86735;-1.60215e-06;2.46369e-07;1.41552e-06;4.30521e-07;2.00832;-1.57142;2.8125
-2.87376;-1.27961e-06;2.033e-07;1.4128e-06;3.36107e-07;1.87516;-1.65742;-2.91519
-2.88049;-1.53424e-06;2.47341e-07;9.90649e-07;8.44459e-07;1.69219;-1.86727;2.29678
-2.88743;-1.44564e-06;2.20308e-07;7.86768e-07;8.27161e-07;1.65342;-1.7523;2.0334
-2.89443;-1.54293e-06;2.21977e-07;8.67361e-07;8.99802e-07;1.70838;-1.80216;2.30157
-2.90138;-1.37991e-06;1.77386e-07;1.00033e-06;4.34125e-07;1.83313;-1.44086;2.26517
-2.90822;-1.39481e-06;1.75417e-07;9.81214e-07;6.40414e-07;1.654;-1.69944;2.37284
-2.91491;-1.42675e-06;1.90831e-07;9.13586e-07;6.73969e-07;1.63273;-1.65312;2.02104
-2.92145;-1.49822e-06;1.93314e-07;8.55163e-07;9.04142e-07;1.73211;-1.84812;2.31259
-2.9278;-1.54741e-06;2.00654e-07;7.74149e-07;9.86485e-07;1.71173;-1.84468;2.14895
-2.93393;-1.45123e-06;1.97703e-07;4.16764e-07;1.19033e-06;1.83251;-2.1056;2.1073
-2.93985;-1.74125e-06;2.35779e-07;5.17989e-07;1.20471e-06;1.8494;-1.00539;1.74827
-2.94556;-1.58166e-06;1.9823e-07;3.16511e-07;1.23181e-06;2.04271;-1.31856;1.87377
-2.95105;-1.83818e-06;2.09615e-07;7.60545e-07;1.02147e-06;2.08518;-1.03323;1.85297
-2.95634;-1.70333e-06;1.87278e-07;5.00878e-07;1.22499e-06;1.9559;-1.11942;1.74255
-2.96145;-1.87642e-06;2.13066e-07;3.66296e-07;1.40993e-06;2.16033;-1.18776;2.07405
-2.96641;-1.74488e-06;1.96416e-07;6.5184e-07;1.08885e-06;2.08324;-1.50371;2.08286
-2.97119;-1.76047e-06;1.92171e-07;3.35112e-07;1.33995e-06;2.30253;-1.28174;2.21255
-2.97579;-1.74107e-06;1.67694e-07;5.18581e-07;1.1975e-06;2.04937;-1.37423;2.01996
-2.98028;-1.69425e-06;1.52569e-07;5.79905e-07;1.07889e-06;2.17803;-1.31701;2.19211
-2.98464;-1.75064e-06;1.29632e-07;7.89522e-07;1.03385e-06;2.21973;-1.47361;2.34176
-2.98883;-1.5603e-06;1.13292e-07;7.82005e-07;1.32253e-06;2.21736;-2.13474;2.54788
-2.99277;-1.51861e-06;1.09964e-07;8.85706e-07;9.73291e-07;2.16481;-1.71731;2.69451
-2.99642;-1.4327e-06;1.05419e-07;1.15199e-06;1.26465e-06;2.32456;-2.13847;2.86401
-2.99975;-1.32426e-06;1.02287e-07;1.14594e-06;8.68861e-07;2.61945;-1.82614;3.03615
-3.00272;-1.36198e-06;8.59437e-08;1.29581e-06;1.03662e-06;2.68076;-1.93168;3.08207
-3.00528;-1.51526e-06;9.29954e-08;6.9096e-07;1.12659e-06;2.29532;-1.95128;2.32955
-3.0074;-1.46598e-06;8.80869e-08;6.05326e-07;1.0968e-06;2.22995;-1.89938;2.32625
-3.00906;-1.54219e-06;9.65356e-08;6.43251e-07;1.26897e-06;2.5087;-2.03161;2.47514
-3.01015;-1.47741e-06;1.01931e-07;6.40857e-07;9.85422e-07;2.57393;-1.72774;2.24695
-3.01061;-1.35049e-06;1.11453e-07;5.74088e-07;8.51622e-07;2.56514;-1.61198;2.29765
-3.01047;-1.48826e-06;1.16164e-07;8.83716e-07;6.58633e-07;2.78814;-1.33629;2.46742
-3.00987;-1.42751e-06;8.80518e-08;8.50168e-07;6.44558e-07;2.65504;-1.41396;2.07413
-3.00894;-1.26339e-06;6.47245e-08;5.69531e-07;6.91488e-07;2.85978;-0.881053;2.05783
-3.00777;-1.4872e-06;7.60417e-08;6.93056e-07;7.90621e-07;2.19333;-1.0532;1.95843
-3.00645;-1.33389e-06;7.43767e-08;7.1129e-07;7.2791e-07;2.09997;-1.39161;1.75263
-3.00507;-1.35738e-06;9.21262e-08;7.21831e-07;8.17506e-07;2.61359;-1.58674;2.58226
-3.00372;-1.59437e-06;9.89521e-08;9.13822e-07;6.84418e-07;2.353;-1.18141;1.94175
-3.00248;-1.35326e-06;7.61561e-08;8.03264e-07;6.7103e-07;2.28492;-1.04631;1.50003
-3.00144;-1.37458e-06;7.0914e-08;5.94489e-07;7.73746e-07;2.22758;-1.05267;2.00395
-3.00068;-1.48728e-06;9.40177e-08;5.33347e-07;1.11141e-06;1.77626;-1.72776;1.92784
-3.00026;-1.42742e-06;1.01857e-07;3.45048e-07;1.26586e-06;1.70622;-1.47048;1.63479
-3.00015;-1.50961e-06;9.84686e-08;4.07521e-07;1.22805e-06;1.71257;-1.3234;1.70395
